file_name,predicted_class
gtchjnzw,faculty
aktnyrw,course
egjrrq,student
egjrrq,student
egjrrq,student
egjrrq,student
ckemt,course
apcgc,staff
akbfdvs,staff
sphiqtdr,staff
hpsaouip,course
pznqy,faculty
beveykcq,staff
uuyzux,course
uuyzux,course
gotjzb,project
yawspc,faculty
uqrfyv,other
uqrfyv,other
uqrfyv,other
egjrrq,staff
ukgoagzq,staff
kjjbbt,other
igamsti,course
ckemt,student
apcgc,staff
akbfdvs,course
sphiqtdr,staff
hpsaouip,student
pznqy,project
beveykcq,other
uuyzux,department
sorah,project
nwqios,student
lfukf,course
uihixqum,course
espxbh,other
oneaef,faculty
wuuif,staff
rteuy,staff
khtaydx,faculty
xyqyyd,staff
pxcwhekn,course
pjnwjfgw,staff
fhayg,faculty
gyutr,other
xuoppkn,staff
kxbknr,staff
wognyts,faculty
gedcirqa,other
pbkzt,other
oovhs,student
szlmwq,other
vircjd,faculty
cdruyo,staff
tnuwsmd,other
syphpwi,faculty
jwfzxxg,other
ppewcgla,staff
crusceee,staff
wzzsat,faculty
tibssnu,other
wwqvvjs,department
wsrchup,project
udghn,course
ihsbfi,project
ydbfhql,course
xxyuea,staff
quatg,course
fczhavit,course
tbcbekmq,staff
oecphzmr,course
xyiafjk,course
kcldhpcj,faculty
yvxpvlc,staff
tpedb,staff
wxbhjnn,course
ufsug,course
bhptsyjz,staff
gxqadkgw,project
olbqqcm,project
debuzvc,other
ffcrqo,course
nlxxo,student
zvrysckq,staff
jfqpd,other
tvmqpm,staff
ouyuwu,student
boarhn,staff
qvxwlws,staff
xgtpxl,staff
utthj,student
xvlikyt,staff
wcwtzpny,project
eudatvy,other
jdwxv,staff
qjjlm,other
czkze,faculty
quyjp,course
thxcjaib,other
wvhluq,faculty
brmtqcj,faculty
vxydxvhn,faculty
tbkoiw,course
zlshvea,other
woiup,staff
rkokgno,student
yolbla,staff
ujnnvh,student
rwrko,student
lclvhfy,course
meqmm,project
gjhhavd,staff
cnlce,faculty
xegyoao,student
eyxtv,faculty
yftemp,department
idjfvfvk,course
cotsv,course
cjnrzzmk,course
xbywiofb,faculty
bofjb,project
ztoydtcl,staff
ncnaj,staff
macjz,staff
kqghrpia,course
amwcmt,faculty
pobhzrg,faculty
ymako,project
rosxu,staff
sfnmxx,course
jdscdzrq,staff
lhyku,student
owvpwso,department
nttawca,staff
ksglvhbn,faculty
uaalnyoj,course
aimch,staff
uicnn,project
mgaymm,other
fvgngpl,student
plddbm,other
wzime,project
beoczxhp,other
lpzykg,other
titkmd,staff
aagelci,project
pzidtqlv,other
pieuuqju,staff
jewrlbk,staff
iztxnf,other
rqbxxl,course
jcalgzyq,staff
ijoyru,course
gfpmjx,staff
ikgbbfg,project
omvawb,other
mfkaijyg,staff
uraxyoec,staff
fgnuh,department
xxnbrcs,staff
qajnzy,staff
bhzijblm,other
utvxb,department
sxfkrscz,project
aplafmip,faculty
ciwmb,project
fugmzdml,other
gwtwpgzd,course
iplufn,course
ttjwn,project
ynozhbm,course
ryvjcfnj,student
oyuuo,course
avemi,student
zlvjh,other
esxrrht,student
usnst,faculty
xggyx,department
pkvviu,staff
bjzfnftw,project
ticyp,course
fxqhlu,course
oouybbn,staff
caaelf,staff
xpajbs,project
gnrotudd,project
urmpyj,course
cbuuznl,student
dbtooseb,project
thpiz,student
dyruktbc,other
jpxvffy,other
bcsrsbug,student
kfbgivtc,staff
urgmrkp,department
alrywqkr,department
ekwtr,other
ixslka,staff
fvcnksd,project
dhtdvz,other
ztrfkwki,other
hmidet,staff
ovtoilww,staff
evwphope,project
irhvprt,project
jqbbor,project
sdwkztnc,project
gwytgt,department
tfggglf,other
bvabh,course
oikri,project
uxdouy,course
icptqhh,staff
caecfi,staff
aljsfwq,staff
fimnwyjw,student
ciuipt,other
ovfkp,faculty
owlrody,student
wkbpmmx,staff
bmmzflr,staff
zhwcpf,project
lcnosc,staff
vukoi,project
hhabfel,faculty
ibnqs,staff
hkdkgy,course
rpidkd,faculty
rcdphl,other
izhzil,staff
eyaswbjz,staff
bfiznf,staff
qrbuxab,student
cqqqjx,project
haifof,staff
amzuns,staff
qruaqyip,faculty
tslgebal,other
iyemmjpt,staff
kxwsy,staff
ondlxia,department
xyufofwi,course
wdmhyym,course
nzoti,faculty
zgrtpsri,faculty
cjnxondy,course
uoqfwcge,faculty
kvals,faculty
qtdrqcai,course
bqfbagmb,project
qtwwz,staff
metwifo,other
hhsnp,other
lmobyly,course
brwup,student
gfvefxbu,faculty
mbfpm,staff
uphoqmv,project
unxkz,staff
swgied,staff
kztyatd,staff
vbefiwn,course
duhyq,project
xigmw,staff
gaqepyeo,staff
tbztbzu,faculty
bpxla,project
xwgndfxh,project
qnoufgn,project
wjikmk,other
stfmt,other
ztmcj,project
mphlxz,project
ynikxrtr,project
tfghbb,staff
wbxnhayf,other
smkcife,faculty
rtdhifk,project
rdhezzsl,student
tclywy,student
qfzzfcr,staff
immpx,student
apnbs,project
igswa,course
xbccwj,faculty
qxdrhk,student
wjwnoa,course
ijsqaud,student
snkofs,student
pyepcme,department
pmtwul,course
uzmbjytx,staff
tzabfv,project
lxvgk,course
mziqqxrl,student
pdkbg,student
duztbzxs,course
pbgmp,student
simnaiid,other
bxxlthi,student
lzqgc,staff
eporowdg,other
vvzcwkr,course
iuxtwgjz,student
pdmah,faculty
jptfm,staff
qhaov,staff
dqxgzzq,student
syzkp,project
cgjuowc,faculty
zndgv,project
imltuesr,course
xlmkr,faculty
lgzaacv,project
uxhlojgi,staff
smqmlfgn,student
ahomx,faculty
whchrj,other
qetmh,faculty
asani,faculty
vszfsxc,course
deqwxxpt,student
tnfeezvd,other
nbvsh,staff
jhptp,department
tzloz,staff
btrlegkg,other
ojpivf,department
ixfhz,other
ziuunycb,project
lbiaen,project
yqium,staff
jdnph,staff
aqsrcsy,department
kyughy,project
qobxesvq,course
lgztt,staff
tjxmtdv,course
nfntx,student
gtwhcjns,staff
lzybo,student
tsceov,student
uazvhld,staff
moesglp,project
sxghcaoe,course
qtfpnpr,student
txetad,course
psenda,faculty
ffrkhfcp,staff
vxwschv,student
txnig,student
roisjft,department
smffe,department
faprw,course
urpxexkq,staff
umhdmc,staff
flgtpxn,faculty
