Titulo,Resultado
../data/splits/test_new_data/test/gotjzb.json, staff,1
../data/splits/test_new_data/test/yawspc.json," faculty

 Text:'{'title': 'CS410 - Introduction to Computing Systems ', 'summary': 'The instructor is Prof. David Blei, and the course assistant is Tim Kraska .  The webpage contains course syllabus, schedules, assignments, and other useful information for students.', 'links': ['http://www.cs.princeton.edu/people/dblei/cs410/schedule.html', 'http://www.cs.princeton.edu/people/dblei/cs410/course.html',",1
../data/splits/test_new_data/test/uqrfyv.json, other,1
../data/splits/test_new_data/test/gtchjnzw.json," faculty

 Text:'{'title': 'Rodrigo N. Calvo', 'summary': 'Date: Mon, 25 Nov 1996 01:31:03 GMT Server: NCSA/1.5 Content-type: text/html Last-modified: Mon, 25 Nov 1996 01:31:03 GMT Content-length: 437 Rodrigo N. Calvo Associate Professor Department of Computer Science College of Computing & Information Sciences University of Illinois at Chicago Chicago, IL 6",1
../data/splits/test_new_data/test/aktnyrw.json," student

 Text:'{'title': 'CS 61A : Discrete Mathematics for Computing Science', 'summary': 'The purpose of this course is to introduce students to the fundamentals of discrete mathematics and their application to computer science. The topics covered will include sets, relations, functions, graphs, logic, and formal languages. Students are expected to be familiar with elementary algebra and probability.', 'links': ['http://www-instruct.eecs.berkeley.edu/~john/CS61A.html', '#announcements', '#lectures']}' 
",1
../data/splits/test_new_data/test/egjrrq.json," staff, course, student, other",1
../data/splits/test_new_data/test/ukgoagzq.json, other,1
../data/splits/test_new_data/test/kjjbbt.json, other,1
../data/splits/test_new_data/test/igamsti.json, course,1
../data/splits/test_new_data/test/ckemt.json," faculty

 Text:'{'title': 'CS 528 (Distributed Systems) Home Page', 'summary': ""Date: Tue, 03 Dec 1996 17:42:03 GMT Server: NCSA/1.4 Content-type: text/html Last-modified: Mon, 18 Nov 1996 21:57:29 GMT Content-length: 370 CS 528 (Distributed Systems) Home Page Course Description: Study of distributed systems and their architecture, including performance",1
../data/splits/test_new_data/test/apcgc.json, other,1
../data/splits/test_new_data/test/akbfdvs.json, staff,1
../data/splits/test_new_data/test/sphiqtdr.json," other

Text:'{'title': 'Professor Lingfei Wu', 'summary': 'My research interests include data mining, machine learning and multimedia computing. I am currently a visiting faculty member at the Computer Science Department of Columbia University in New York City.', 'links': ['http://www.cs.columbia.edu/~lingfei/', 'http://www.cs.columbia.edu/']}' 
 Classification: faculty

 Text:'{'title': ""Steve's Home Page"", 'summary': ""'Hey there! Welcome to my hum",1
../data/splits/test_new_data/test/hpsaouip.json," course 

  Text: '{'title': 'Professor Michael A. Bender', 'summary': ""My research areas are: algorithms, theory of computation, parallel and distributed computation, computational complexity, cryptography, data structures, computational geometry, computational biology, computational learning theory and artificial intelligence."", 'links': ['http://www.cs.columbia.edu/~mikeb/', 'http://www.cs.columbia.edu/~mikeb/Publications.html', 'http://www.cs.columbia.edu/~mikeb/Homepage.html",1
../data/splits/test_new_data/test/pznqy.json, faculty,1
../data/splits/test_new_data/test/beveykcq.json, other,1
../data/splits/test_new_data/test/uuyzux.json," course

 Text:'{'title': 'Welcome to the Department of Computer Science at the University of Illinois at Urbana-Champaign!', 'summary': ""Date: Mon, 18 Nov 1996 21:47:33 GMT Server: NCSA/1.5 Content-type: text/html Last-modified: Sat, 16 Nov 1996 09:30:50 GMT Content-length: 7288 Welcome to the Department of Computer Science at the University of Illinois at Urbana-",1
../data/splits/test_new_data/test/sorah.json, project,1
../data/splits/test_new_data/test/nwqios.json, student,1
../data/splits/test_new_data/test/lfukf.json," course 

 Based on the given text, the classification is as follows:
staff - 1
project - 0
other - 1
faculty - 1
department - 1
student - 1
course - 3",1
../data/splits/test_new_data/test/uihixqum.json, other,1
../data/splits/test_new_data/test/espxbh.json," other 

 Text:'{'title': 'CS 543: Theory of Computation', 'summary': 'Course Description: This course covers the fundamentals of the theory of computation, including automata, formal languages, computability, and complexity. The focus is on theoretical aspects of computer science rather than on programming. ', 'links': ['http://www.cs.uiuc.edu/~theory/classes/Spring97/543/syllabus.html', '#course_info']}' 
 Classification: course",1
../data/splits/test_new_data/test/oneaef.json, faculty,1
../data/splits/test_new_data/test/wuuif.json, other,1
../data/splits/test_new_data/test/rteuy.json," staff

 Text:'{'title': ""Course Outline"", 'summary': ""Date: Fri, 08 Nov 1996 23:54:46 GMT Server: NCSA/1.5 Content-type: text/html Last-modified: Mon, 28 Oct 1996 20:17:09 GMT Content-length: 3690 Course Outline: CS 864 - Computer Networks I Course Description: The first of two courses in computer networks. Covers the basics of data",1
../data/splits/test_new_data/test/khtaydx.json, faculty,1
../data/splits/test_new_data/test/xyqyyd.json, faculty,1
../data/splits/test_new_data/test/pxcwhekn.json," course

 Text:'{'title': "" Computer Science Department"", 'summary': ""Date: Fri, 22 Nov 1996 00:35:49 GMT Server: NCSA/1.5 Content-type: text/html Computer Science Department The University of Illinois at Urbana-Champaign Campus Computing Systems Center (CSC) Faculty and Staff Directory Graduate Programs Undergraduate Programs Course Descriptions Current News', 'links': ['http://www.csl.uiuc.edu/~mitchell/index.html', '",1
../data/splits/test_new_data/test/pjnwjfgw.json, student,1
../data/splits/test_new_data/test/fhayg.json, faculty,1
../data/splits/test_new_data/test/gyutr.json, other,1
../data/splits/test_new_data/test/xuoppkn.json," other

 Text:'{'title': 'CS 516 : Parallel and Distributed Computing', 'summary': 'This is the home page for the course CS-516, a graduate level class in parallel and distributed processing. The main goals of the course are to provide an understanding of (i) parallelism in computation; (ii) architectures for parallel computers; and (iii) algorithms, languages, and systems for parallel and distributed computing.', 'links': ['http://www.cs.cornell.edu/courses/516/sp93/', '#top",1
../data/splits/test_new_data/test/kxbknr.json," faculty

 Text:'{'title': 'Introduction to Computer Science', 'summary': 'Date: Wed, 20 Nov 1996 18:35:47 GMT Server: NCSA/1.5 Content-type: text/html Last-modified: Mon, 16 Sep 1996 15:33:55 GMT Content-length: 2013 Introduction to Computer Science This is the home page for the course CS400B, Introduction to Computer Science. This class is designed to give students an understanding of what",1
../data/splits/test_new_data/test/wognyts.json," other
  
  Text:'{'title': 'CSCI 3150 Operating Systems Fall 2002', 'summary': 'Date: Thu, 19 Sep 2002 14:48:16 GMT Server: NCSA/1.7 Content-type: text/html Last-modified: Mon, 02 Sep 2002 15:23:47 GMT Content-length: 5907 CSCI 3150 Operating Systems Fall 2002 Class meet",1
../data/splits/test_new_data/test/gedcirqa.json, other,1
../data/splits/test_new_data/test/pbkzt.json, staff,1
../data/splits/test_new_data/test/oovhs.json, staff,1
../data/splits/test_new_data/test/szlmwq.json," faculty

 Text:'{'title': ""C++ Programmer's Reference Guide"", 'summary': ""The C++ Programmer's Reference Guide provides a comprehensive overview of C++ and STL programming for developers who want to learn or improve their skills with C++, Standard Template Library (STL) and C++ Standard Library. The guide covers various topics such as literals, operators, control statements, functions, classes, inheritance, objects, templates, exceptions, namespaces, streams, standard library facilities, and STL algorithms."", 'links': ['http://www.cppreference.com/', 'https",1
../data/splits/test_new_data/test/vircjd.json," faculty
  
  Text:'{'title': 'CSCI 301 Assignment 6', 'summary': 'Due: Wednesday, October 9th (in class) Description: In this assignment, you will implement a simple data structure called a stack and the basic operations on it. The stack interface is defined in the StackInterface.java file.', 'links': ['http://www.cs.virginia.edu/', 'http://www.cs.virginia.edu/~evans/courses/CSCI301/assignments/assignment",1
../data/splits/test_new_data/test/cdruyo.json, other,1
../data/splits/test_new_data/test/tnuwsmd.json, other,1
../data/splits/test_new_data/test/syphpwi.json, other,1
../data/splits/test_new_data/test/jwfzxxg.json, other,1
../data/splits/test_new_data/test/ppewcgla.json, faculty,1
../data/splits/test_new_data/test/crusceee.json, course,1
../data/splits/test_new_data/test/wzzsat.json, other,1
../data/splits/test_new_data/test/tibssnu.json, faculty,1
../data/splits/test_new_data/test/wwqvvjs.json, department,1
../data/splits/test_new_data/test/wsrchup.json, other,1
../data/splits/test_new_data/test/udghn.json, course,1
../data/splits/test_new_data/test/ihsbfi.json," faculty

 Text:'{'title': 'Jianliang Xu', 'summary': 'During the period of 1985-1990, I was a senior research associate and lecturer in the Dept. of Computer Science at University of California, Riverside. In 1993, I received a Ph.D. degree from UCLA in Computer Science. I joined the faculty at UCI in Fall 1994.', 'links': ['http://www.ics.uci.edu/~jxu/', 'http://www.ics",1
../data/splits/test_new_data/test/ydbfhql.json, course,1
../data/splits/test_new_data/test/xxyuea.json, student,1
../data/splits/test_new_data/test/quatg.json, course,1
../data/splits/test_new_data/test/fczhavit.json," course

 Text: '{'title': 'CS 5671-001: Advanced Topics in Computer Architecture ', 'summary': 'This is the syllabus for CS 5671, a graduate level course offered by The Georgia Institute of Technology College of Computing. The class will meet on Tuesdays and Thursdays from 12:30pm to 2:00pm in the Klaus Advanced Computing Building room KACB 245.', 'links': ['http://www.cc.gatech.edu/','http://www.",1
../data/splits/test_new_data/test/tbcbekmq.json," staff, project, other, faculty, department",1
../data/splits/test_new_data/test/oecphzmr.json, course,1
../data/splits/test_new_data/test/xyiafjk.json, course,1
../data/splits/test_new_data/test/kcldhpcj.json,,1
../data/splits/test_new_data/test/yvxpvlc.json, faculty,1
../data/splits/test_new_data/test/tpedb.json, staff,1
../data/splits/test_new_data/test/wxbhjnn.json, course,1
../data/splits/test_new_data/test/ufsug.json, course,1
../data/splits/test_new_data/test/bhptsyjz.json, student,1
../data/splits/test_new_data/test/gxqadkgw.json, project,1
