docid,predicted_class
wfqwne,student
wwisnmd,other
xlhpgzu,other
yghie,student
omvawb,other
ryxpilnj,other
plwcqfga,other
mqfmt,course
pzaevn,student
mmtvoq,student
xbccwj,faculty
avemi,student
browzov,course
lbokfzil,other
pkbni,student
emjhblgl,other
sndtbf,other
qvkigj,other
xuime,project
sbzkac,other
yxzgihv,other
fvuyfjv,faculty
kqohtbk,other
vqshies,faculty
xdyech,other
uiidp,student
lkhsef,faculty
jsybmuwh,student
izktf,other
sxghcaoe,other
tfghbb,other
mgvpscd,other
jyeyszb,student
fhalcyxq,other
xgtpxl,student
byyxifzz,student
skcbez,faculty
yajcfiu,faculty
pyywwcr,course
tomluz,other
faprw,other
ihrpmc,course
ucomfn,other
gkhact,student
aaclkul,student
qgzfwk,other
gbzlhhl,course
jdjamsls,student
ysfrk,student
rfiabezw,faculty
livhw,course
xmmhnp,student
jtahlq,other
jymnj,course
axgkxmj,other
xicjxs,course
bxxlthi,student
wkqvj,course
mrqhsday,other
vszfsxc,other
meqmm,other
rntfgee,other
epuimb,student
otbmgnv,other
nnccrkk,student
bgxblaq,student
tbztbzu,student
wcjpbf,project
doihof,other
qxxqr,other
ncnaj,student
vrnec,student
tjvzkyq,staff
lfuutmdo,student
altuxox,student
plbcxaf,other
apakwv,other
qcaet,other
sxdmgx,student
quatg,course
ddurpci,faculty
yloilxu,student
fmahjld,other
iqbqv,other
lfukf,other
rjkqlkz,course
hchoacu,faculty
ikgbbfg,other
ubpfdjg,other
eyjdhqq,other
jnvplm,student
kydoocvs,course
odgedcwl,department
zgrzpiay,other
scfijbu,other
cfwzqt,other
bwvavr,faculty
ibxwya,student
jwkygjy,student
fqkyhcel,other
wiozj,course
etibjjjs,student
alrywqkr,project
rosxu,student
bovyrx,student
eshbrq,other
isxcfiva,student
suqfqzt,project
zgrtpsri,faculty
cjnxondy,other
feeuawp,course
bmmzflr,other
fxqhlu,course
augeudkf,other
lcuod,other
xxnbrcs,student
qtfpnpr,student
smqsgj,other
hurpsrje,student
hmavwgj,student
jdnph,staff
saqelsg,other
wozzc,other
fkvuit,course
wqrxuql,other
caecfi,other
kvtlipjh,course
oehiy,faculty
gxabdahe,department
qnsjufb,other
sdyiaw,student
kuecr,other
mfdsqlg,other
qjjlm,other
rixsxfif,faculty
wrwst,other
aqsrcsy,department
cqyvoud,other
eicifodp,course
kzvrrq,other
cifyk,student
ybcvkiqf,other
mlylezz,other
bhuwf,other
ewnonvxy,other
udghn,other
emtufqje,course
oouybbn,other
vpxuxe,student
altxhm,other
rayfcgh,faculty
lmobyly,department
ktmvcnv,student
uuouaarr,project
jtcqmpo,project
eporowdg,other
snwpmu,other
lalle,other
apkhal,student
lhecwea,other
uohan,course
cqqqjx,staff
swyppqy,course
unokivxy,other
ltwcnxe,other
bhzijblm,other
pjxvuupt,course
kfbgivtc,other
jqeqv,other
jqbbor,faculty
twqjlu,course
fpwuad,other
mvxmadyv,other
pohzzvig,other
jdwxv,other
eysee,department
hpzoxitc,project
qruaqyip,faculty
qhfvar,other
excvdwzh,course
xmvvel,other
ukgoagzq,other
whgcvmc,other
eihif,other
mcfjym,project
kjjbbt,other
eksgz,other
urmpyj,course
hhdrss,other
cdruyo,student
xelszv,other
zlshvea,other
vmaagp,course
iwsxp,other
xehokcn,course
loflw,course
qjimegkq,student
cwlxvwh,course
eplubxxs,other
faqoft,student
gwtwpgzd,course
yrjhu,faculty
ycvkbx,department
coomnevj,student
hpsaouip,other
uneyzw,course
jlrqqriz,other
qfxbal,student
maktwrg,course
aceolgzx,other
flectkq,other
czvftspe,other
itlkmcny,other
kesfngwd,faculty
nrkvfmyh,other
ypmwe,other
eisomf,other
qobxesvq,other
rtdgpvlc,faculty
vvtckzz,student
vkyun,student
jmbmykpe,other
iitwjneu,faculty
ttjwn,student
audtaxh,other
pcjsleru,project
pinguqo,faculty
tqelvzrz,other
zfmgxz,other
htqac,student
