docid,predicted_class
./data/splits/test_new\test\aaclkul.json,course
./data/splits/test_new\test\aagelci.json,project
./data/splits/test_new\test\aangjmn.json,course
./data/splits/test_new\test\aawnpc.json,course
./data/splits/test_new\test\abdjgiz.json,course
./data/splits/test_new\test\abeith.json,course
./data/splits/test_new\test\acbplmv.json,course
./data/splits/test_new\test\aceolgzx.json,course
./data/splits/test_new\test\aeohgccl.json,course
./data/splits/test_new\test\afdtazl.json,course
./data/splits/test_new\test\ahomx.json,faculty
./data/splits/test_new\test\aigkvvw.json,course
./data/splits/test_new\test\aiiuj.json,student
./data/splits/test_new\test\aimch.json,course
./data/splits/test_new\test\aiqltd.json,course
./data/splits/test_new\test\aishkqu.json,course
./data/splits/test_new\test\aixqtudn.json,course
./data/splits/test_new\test\aizdnscx.json,course
./data/splits/test_new\test\ajgfhfc.json,course
./data/splits/test_new\test\ajjwszik.json,other
./data/splits/test_new\test\akbfdvs.json,course
./data/splits/test_new\test\aktnyrw.json,course
./data/splits/test_new\test\alfaog.json,course
./data/splits/test_new\test\aljsfwq.json,other
./data/splits/test_new\test\alrywqkr.json,student
./data/splits/test_new\test\altuxox.json,course
./data/splits/test_new\test\altxhm.json,course
./data/splits/test_new\test\amowrsh.json,course
./data/splits/test_new\test\ampuskyi.json,course
./data/splits/test_new\test\amvukjdd.json,other
./data/splits/test_new\test\amwcmt.json,course
./data/splits/test_new\test\amzuns.json,staff
./data/splits/test_new\test\anjxcrs.json,course
./data/splits/test_new\test\anpusdof.json,course
./data/splits/test_new\test\apakwv.json,course
./data/splits/test_new\test\apcgc.json,course
./data/splits/test_new\test\apkhal.json,course
./data/splits/test_new\test\aplafmip.json,course
./data/splits/test_new\test\apmwy.json,course
./data/splits/test_new\test\apnbs.json,course
./data/splits/test_new\test\appjcc.json,course
./data/splits/test_new\test\aqhzllis.json,course
./data/splits/test_new\test\aqsrcsy.json,course
./data/splits/test_new\test\arwvjftm.json,course
./data/splits/test_new\test\arzeerl.json,other
./data/splits/test_new\test\asani.json,course
./data/splits/test_new\test\asjtpgrs.json,course
./data/splits/test_new\test\aslkxlcr.json,course
./data/splits/test_new\test\asmucefp.json,course
./data/splits/test_new\test\aspksukx.json,course
./data/splits/test_new\test\aspnkeit.json,course
./data/splits/test_new\test\audtaxh.json,department
./data/splits/test_new\test\augeudkf.json,course
./data/splits/test_new\test\augwaud.json,course
./data/splits/test_new\test\aunqt.json,course
./data/splits/test_new\test\avemi.json,course
./data/splits/test_new\test\awioiejc.json,course
./data/splits/test_new\test\awlal.json,course
./data/splits/test_new\test\axgkxmj.json,course
./data/splits/test_new\test\axphpch.json,course
./data/splits/test_new\test\aykqf.json,course
./data/splits/test_new\test\ayteap.json,course
./data/splits/test_new\test\azndzp.json,course
./data/splits/test_new\test\bbgkx.json,course
./data/splits/test_new\test\bcsrsbug.json,course
./data/splits/test_new\test\bdcydd.json,course
./data/splits/test_new\test\bdptkaio.json,course
./data/splits/test_new\test\bdwiu.json,course
./data/splits/test_new\test\begqls.json,course
./data/splits/test_new\test\beoczxhp.json,course
./data/splits/test_new\test\beoyl.json,project
./data/splits/test_new\test\beveykcq.json,course
./data/splits/test_new\test\bfiznf.json,course
./data/splits/test_new\test\bghlh.json,course
./data/splits/test_new\test\bgnisk.json,course
