title,body,links,label
Werner Vogels,"If we want to take our distributed systems to a global scope, there is a need to find a generic mechanism to support failure suspision, detection and management of processes, nodes and networks.","['mailto:vogels@cs.cornell.edu', 'http://www.cs.cornell.edu/Info/Projects/HORUS', 'http://www.cs.cornell.edu/Info/Projects/ATM']",staff
Jason Collins,"Date: Tue, 26 Nov 1996 19:24:33 GMT Server: NCSA/1.5.1 Last-modified: Wed, 30 Oct 1996 17:45:00 GMT Content-type: text/html Content-length: 2607 Jason Collins La Page de Jason Collins I'm currently working as a Research Associate at the University of Saskatchewan Department of Computer Science .","['http://www.usask.ca', 'http://www.cs.usask.ca', 'http://www.cs.usask.ca/projects/aries/']",staff
"
Jussi Karlgren, NYU
","Background and Reseach Goals I received my B A in Computational Linguistics and Mathematics in 1988, a Licentiate of Philosophy in Computer and Systems Sciences 1992, and have since then been employed at SICS in the Language and Interaction group - the former Natural Language Processing group - which position I currently am on leave from to uphold a research assistant position at New York University.","['http://www.sics.se/', 'http://www.sunet.se:80/stockholm/', 'http://www.sunet.se/map/sweden.html']",staff
 Ashutosh Dutta's Home Page ,"Date: Tue, 26 Nov 1996 20:25:51 GMT Server: Apache/1.1.1 Content-type: text/html Content-length: 1412 Last-modified: Tue, 22 Oct 1996 20:29:35 GMT Ashutosh Dutta's Home Page Ashutosh Dutta finger dutta@cs.columbia.edu Welcome to my home page.","['http://www.cs.columbia.edu/cgi-bin/finger?dutta@cs""', 'http://www.cs.columbia.edu', 'http://www.columbia.edu']",staff
Document moved,"WWW Alert:  Redirection response from server is not handled by this client Date: Wed, 19 Feb 1997 16:49:26 GMT Server: NCSA/1.5 Location: http://www.tc.cornell.edu/~bruce/ Content-type: text/html Document moved Document moved This document has permanently moved here .",['http://www.tc.cornell.edu/~bruce/'],staff
 Millar.html ,"Date: Mon, 25 Nov 1996 23:23:44 GMT Server: NCSA/1.5.1 Last-modified: Thu, 17 Oct 1996 19:27:23 GMT Content-type: text/html Content-length: 704 Millar.html L. Beth Millar B. Comm.",[],staff
"
Elle Gohl
",Ms. Gohl has a B.A.,"['http://www.cs.vassar.edu/faculty/stafflist.html', 'http://www.cs.vassar.edu/']",staff
Linda Torczon,"In the area of interprocedural analysis and optimization, she has developed techniques for interprocedural constant propagation and recompilation analysis.","['http://www.cs.rice.edu/MSCP/MSCP.html', 'http://www.cs.rice.edu/fortran-tools/DSystem/DSystem.html', 'http://www.cs.rice.edu/MSCP/publications.html']",staff
Paul D. Wiedemeier,"Date: Tue, 26 Nov 1996 17:43:03 GMT Server: Apache/1.1.1 Content-type: text/html Content-length: 886 Last-modified: Thu, 30 May 1996 19:16:49 GMT Paul D. Wiedemeier Paul D. Wiedemeier Title:      Programmer Analyst II Department: Campus Computing Divison: Academic and Administrative Computing Support Mail:       Paul D. Wiedemeier University of Missouri - Columbia Campus Computing 200 Heinkel Building Columbia, Missouri  65211","['http://www.missouri.edu/cc', 'http://www.missouri.edu/cc/cc_groups/academic.html', 'http://www.missouri.edu']",staff
Ngô Thanh Nh&agraven,"Date: Tue, 26 Nov 1996 20:54:06 GMT Server: NCSA/1.4.1 Content-type: text/html Last-modified: Mon, 25 Nov 1996 19:46:49 GMT Content-length: 2054 Ngô Thanh Nh&agraven Ngô Thanh Nh&agraven Computational Linguist Courant Institute of Mathematical Sciences Linguistic String Project Department of Computer Science Courant Institute of Mathematical Sciences New York University Mail Address Courant Institute of Mathematical Sciences 719 Broadway, Room 714 New York, NY 10003 U.S.A.","['http://cs.nyu.edu/cs/projects/lsp/index.html', 'http://www.cs.nyu.edu/', 'http://cs.nyu.edu/cs/courantnyu.html']",staff
Jon Damon Reese's Home Page,"Date: Thu, 21 Nov 1996 20:19:19 GMT Server: NCSA/1.4.2 Content-type: text/html Last-modified: Sat, 27 Jul 1996 06:00:13 GMT Content-length: 5742 Jon Damon Reese's Home Page Jon Damon Reese Post-Doctoral Researcher Safety-Critical Software Group Department of Computer Science and Engineering University of Washington Box 352350 Seattle , WA 98195 Office: 106 Chateau (Guggenheim Annex) Phone: (206) 616-1844 FAX: (206) 543-2969 E-mail: jdreese@cs.washington.edu Research I am interested in the problem of safety-critical software .","['http://www.cs.washington.edu/research/projects/safety/www/', 'http://www.cs.washington.edu/', 'http://www.washington.edu']",staff
"
Charles Thayer's Home Page
","-- Experimental document being written Charles Thayer Stub Techno-Fun Stuff Perl 5 man pages Perl Manual Perl World Wide Web Page Perl BBS Some merges of perl and snmp are available from: The DNPAP of Delft University of Technology (ftp Tricklet) , and CMU's SNMP folks .","['http://www.cs.columbia.edu/~thayer/bitmaps/moose-card-red.gif', 'http://www.cs.columbia.edu:/~thayer/Hotlist.html', 'http://www.cs.columbia.edu/~thayer/announce.cgi']",staff
"Danilo Florissi, PhD Student","Date: Tue, 26 Nov 1996 20:17:53 GMT Server: Apache/1.1.1 Content-type: text/html Content-length: 1156 Last-modified: Tue, 22 Aug 1995 19:18:56 GMT Danilo Florissi, PhD Student Danilo Florissi Department of Computer Science Columbia University New York, NY 10027 Tel: +1 (212) 939-7097 Fax: +1 (212) 666-0140 E-mail: df@cs.columbia.edu Danilo is a post-doctorate research scientist with the Distributed Computing and Communications (DCC) Lab.","['http://www.cs.columbia.edu/~pgsf', 'http://www.cs.columbia.edu/~df/isochronets.html', 'http://www.cs.columbia.edu/~df/cv_danilo.ps']",staff
Eck's Home Page,"Date: Tue, 26 Nov 1996 21:03:36 GMT Server: Apache/1.1.1 Content-type: text/html Content-length: 1488 Last-modified: Wed, 20 Mar 1996 16:50:36 GMT Eck's Home Page Eckehard Doerry, Ph.d. Interactive Systems Group University of Oregon BY THE WAY: If you are seeing this version of my home page, then you are using an outdated browser version.","['mailto:eck@cs.uoregon.edu', 'http://www.cs.uoregon.edu/~eck/features.html', 'http://www.cs.uoregon.edu/~eck/dissertation.html']",staff
Charlie Garrett's Home Page,"Date: Thu, 21 Nov 1996 20:05:54 GMT Server: NCSA/1.4.2 Content-type: text/html Last-modified: Tue, 23 Jul 1996 19:08:36 GMT Content-length: 883 Charlie Garrett's Home Page Charlie Garrett Address 13725 32nd Ave. NE Apt.","['http://www.neci.nj.nec.com/homepages/eric/ga.ps', 'http://www.cs.washington.edu/research/projects/cecil', 'http://www.cs.washington.edu/homes/garrett/books.html']",staff
Matthew Morgenstern's Home Page,"MIME-Version: 1.0 Server: CERN/3.0 Date: Wednesday, 20-Nov-96 19:30:15 GMT Content-Type: text/html Content-Length: 1030 Last-Modified: Friday, 18-Nov-94 21:26:10 GMT Matthew Morgenstern's Home Page Matthew Morgenstern Researcher / Project Leader Address: 503 Engineering and Theory Center Xerox Design Research Institute Cornell University Ithaca, NY 14853 Phone: 607-255-9899 Fax: 607-254-4742 Email: Morgenstern@cs.cornell.edu Status: Visiting Fellow (Cornell Computer Science) Principal Scientist (Xerox) Ph.D. MIT Laboratory for Computer Science Projects: Distributed Heterogeneous Database Systems - an ARPA funded project.",[],staff
 venderBuhs.html ,"Date: Mon, 25 Nov 1996 23:23:26 GMT Server: NCSA/1.5.1 Last-modified: Thu, 29 Jun 1995 15:16:36 GMT Content-type: text/html Content-length: 136 venderBuhs.html Brian ven der Buhs Research Associate",[],staff
"About Andy Richter
","Date: Mon, 25 Nov 1996 23:27:47 GMT Server: Apache/1.1.1 Content-type: text/html Content-length: 1399 Last-modified: Mon, 21 Oct 1996 20:12:15 GMT About Andy Richter About Andy Richter Andy Richter is the System Administrator for the School of Engineering Distributed Computing Network (SEDCON) .","['http://www.vuse.vanderbilt.edu/General/SEDCON.html', 'http://www.vuse.vanderbilt.edu/General/SEDCON.html', 'http://www.vuse.vanderbilt.edu/VUSE/Overview.html']",staff
Meir I. Green,Green Meir I.,"['mailto:meir@POBoxes.com', 'http://www.netforward.com/poboxes/?meir', 'http://www.columbia.edu/cu/jsu']",staff
Welcome to the house of GENERAL,I hope you like what you see here.,"['http://www-cnoc.cs.mcgill.ca/~general/pics/s2.jpg', 'http://www-cnoc.cs.mcgill.ca/~general/Page2.html', 'http://www.webcrawler.com']",staff
Rebecca Passonneau's Home Page,"Rainer Maria Rilke Rebecca Passonneau (Ph.D. in Linguistics, University of Chicago, 1985) works concurrently as a Research Scientist in the Department of Computer Science at Columbia University and as a Visiting Research Scientist in Bellcore's Applied Research Group .","['http://www.cs.columbia.edu/', 'http://www.cc.columbia.edu/', 'http://www.bellcore.com/tech_int.html']",staff
Bolo,"All this, and a whole lot more , occurs at the Computer Sciences Department of the Madison Campus of the University of Wisconsin .","['http://www.cs.wisc.edu/~dewitt/dewitt.html', 'http://www.bolo.com/~mike/', 'http://www.cs.wisc.edu/~bolo/flight.html']",staff
 Masahiko Saito's Home Page,"It also has a meaning ""of Kyoto,"" which is my home town.","['http://www.cs.uiuc.edu', 'http://biobio.cs.uiuc.edu/osl.html', 'http://www.hitachi.co.jp/Lab/hrl.html']",staff
 Sarmistha Dutta's Home Page ,Some useful information: I am a Systems Administrator at the Central Research Facility( CRF ) My office address is as follows: Sarmistha Dutta(Manu) 483 Computer Science Dept.,"['http://www.cs.columbia.edu/cgi-bin/finger?manu@cs""', 'http://www.cs.columbia.edu', 'http://www.columbia.edu']",staff
"Personal Page - Jay F. Kusler, Department of Computer Science","Date: Tue, 26 Nov 1996 20:42:39 GMT Server: Apache/1.1.0 Content-type: text/html Content-length: 1620 Last-modified: Wed, 30 Oct 1996 00:20:28 GMT Personal Page - Jay F. Kusler, Department of Computer Science Jay F. Kusler Systems Operations Manager Computer Science Department Michigan State University I am in charge of the day-to-day operations involved in managing and servicing  the 150+ workstations, 15-odd servers, and 1800+ active user accounts in our department.","['http://web.cps.msu.edu', 'http://web.msu.edu', 'http://web.cps.msu.edu/~ni/']",staff
Lisa Josephine Lees,"(But I am an inner-directed ENFP, which confuses the heck out of a lot of people.)","['http://www.msu.edu/', 'http://www.cps.msu.edu/', 'http://www.cps.msu.edu/facility/']",staff
