file_name,predicted_class
test_new\test\aaclkul,staff
test_new\test\aagelci,other
test_new\test\aangjmn,course
test_new\test\aawnpc,course
test_new\test\abdjgiz,student
test_new\test\abeith,student
test_new\test\acbplmv,faculty
test_new\test\aceolgzx,project
test_new\test\aeohgccl,student
test_new\test\afdtazl,student
test_new\test\ahomx,course
test_new\test\aigkvvw,student
test_new\test\aiiuj,course
test_new\test\aimch,staff
test_new\test\aiqltd,course
test_new\test\aishkqu,project
test_new\test\aixqtudn,course
test_new\test\aizdnscx,other
test_new\test\ajgfhfc,other
test_new\test\ajjwszik,faculty
test_new\test\akbfdvs,student
test_new\test\aktnyrw,student
test_new\test\alfaog,course
test_new\test\aljsfwq,student
test_new\test\alrywqkr,staff
test_new\test\altuxox,student
test_new\test\altxhm,other
test_new\test\amowrsh,student
test_new\test\ampuskyi,project
test_new\test\amvukjdd,student
test_new\test\amwcmt,student
test_new\test\amzuns,project
test_new\test\anjxcrs,faculty
test_new\test\anpusdof,student
test_new\test\apakwv,department
test_new\test\apcgc,student
test_new\test\apkhal,other
test_new\test\aplafmip,staff
test_new\test\apmwy,student
test_new\test\apnbs,faculty
test_new\test\appjcc,course
test_new\test\aqhzllis,other
test_new\test\aqsrcsy,course
test_new\test\arwvjftm,project
test_new\test\arzeerl,student
test_new\test\asani,course
test_new\test\asjtpgrs,student
test_new\test\aslkxlcr,course
test_new\test\asmucefp,department
test_new\test\aspksukx,student
test_new\test\aspnkeit,student
test_new\test\audtaxh,student
test_new\test\augeudkf,course
test_new\test\augwaud,course
test_new\test\aunqt,course
test_new\test\avemi,student
test_new\test\awioiejc,other
test_new\test\awlal,student
test_new\test\axgkxmj,other
test_new\test\axphpch,other
test_new\test\aykqf,student
test_new\test\ayteap,faculty
test_new\test\azndzp,department
test_new\test\bbgkx,course
test_new\test\bcsrsbug,student
test_new\test\bdcydd,student
test_new\test\bdptkaio,staff
test_new\test\bdwiu,course
test_new\test\begqls,project
test_new\test\beoczxhp,student
test_new\test\beoyl,student
test_new\test\beveykcq,other
test_new\test\bfiznf,student
test_new\test\bghlh,other
test_new\test\bgnisk,student
test_new\test\bgudhc,course
test_new\test\bgxblaq,course
test_new\test\bhjnxfeq,other
test_new\test\bhkvqidu,course
test_new\test\bhlwohi,staff
test_new\test\bhptsyjz,student
test_new\test\bhuwf,other
test_new\test\bhzijblm,other
test_new\test\biaio,student
test_new\test\bilwr,course
test_new\test\bjjitsgt,student
test_new\test\bjwiuevz,other
test_new\test\bjzfnftw,project
test_new\test\blobw,course
test_new\test\bmmzflr,staff
test_new\test\bnbsv,student
test_new\test\boarhn,student
test_new\test\bodmvxdf,student
test_new\test\bofjb,project
test_new\test\bondtsrh,staff
test_new\test\bovyrx,student
test_new\test\bpblgwar,course
test_new\test\bphhvc,project
test_new\test\bpjzrlxy,project
test_new\test\bpxla,project
test_new\test\bqbvlmis,student
test_new\test\bqcuk,other
test_new\test\bqfbagmb,student
test_new\test\brhotofi,faculty
test_new\test\brmtqcj,other
test_new\test\brorn,project
test_new\test\browzov,course
test_new\test\brwup,student
test_new\test\brzpgboe,course
test_new\test\bsjgc,other
