docid,predicted_class
aaclkul,student
aagelci,department
aangjmn,project
aawnpc,other
abdjgiz,faculty
abeith,other
acbplmv,staff
aceolgzx,staff
aeohgccl,other
afdtazl,student
ahomx,faculty
aigkvvw,other
aiiuj,other
aimch,student
aiqltd,student
aishkqu,student
aixqtudn,course
aizdnscx,other
ajgfhfc,course
ajjwszik,student
akbfdvs,other
aktnyrw,faculty
alfaog,other
aljsfwq,other
alrywqkr,student
altuxox,student
altxhm,other
amowrsh,staff
ampuskyi,student
amvukjdd,other
amwcmt,student
amzuns,other
anjxcrs,course
anpusdof,student
apakwv,course
apcgc,other
apkhal,staff
aplafmip,other
apmwy,other
apnbs,other
appjcc,project
aqhzllis,student
aqsrcsy,course
arwvjftm,other
arzeerl,other
asani,course
asjtpgrs,other
aslkxlcr,other
asmucefp,other
aspksukx,faculty
aspnkeit,other
audtaxh,project
augeudkf,course
augwaud,student
aunqt,course
avemi,other
awioiejc,other
awlal,other
axgkxmj,student
axphpch,course
aykqf,staff
ayteap,department
azndzp,course
bbgkx,course
bcsrsbug,student
bdcydd,student
bdptkaio,student
bdwiu,course
begqls,other
beoczxhp,other
beoyl,other
beveykcq,other
bfiznf,other
bghlh,student
bgnisk,student
bgudhc,student
bgxblaq,other
bhjnxfeq,student
bhkvqidu,course
bhlwohi,other
bhptsyjz,student
bhuwf,other
bhzijblm,other
biaio,other
bilwr,other
bjjitsgt,other
bjwiuevz,other
bjzfnftw,other
blobw,course
bmmzflr,other
bnbsv,other
boarhn,course
bodmvxdf,other
bofjb,other
bondtsrh,other
bovyrx,other
bpblgwar,course
bphhvc,other
bpjzrlxy,other
bpxla,course
bqbvlmis,project
bqcuk,other
bqfbagmb,other
brhotofi,student
brmtqcj,student
brorn,student
browzov,other
brwup,student
brzpgboe,project
bsjgc,other
bsjsuzw,project
bslps,other
btpdso,department
btrlegkg,student
bttjq,faculty
bulvw,other
bumcmpt,other
bvabh,staff
bvkkhgyo,student
bvnniatg,other
bvtwusw,course
bvvko,project
bwjjh,other
bwvavr,other
bxwnlyu,course
bxxlthi,staff
bypmk,project
byyxifzz,student
bzavavce,course
bzbyv,other
bzthieu,other
caaelf,other
caecfi,other
caeck,other
caogdi,course
cbdxh,department
cbuuznl,other
ccbje,other
cddmp,course
cdhwa,other
cdruyo,student
cehogf,other
cenlf,course
cfcynn,other
cfsvmoen,course
cftid,staff
cfwzqt,course
cgjuowc,faculty
charmfhj,student
chwusgl,student
cifmtm,student
cifyk,other
cioumfyi,other
ciuipt,department
ciwmb,course
cjnrzzmk,course
cjnxondy,other
ckemt,student
cketrvj,course
ckhzgl,other
clcydbp,student
clkaoj,course
clpyjrid,other
clsxoodd,other
cnhjk,project
cnlce,faculty
coomnevj,project
cotsv,department
cqksepwt,other
cqqqjx,other
cqtek,course
cqyvoud,other
cqzxj,other
crbexe,course
crusceee,course
ctfljg,other
ctshqqfo,student
cvxtmt,project
cwlxvwh,other
cxdpjw,student
cxjmjdh,course
cxvkh,other
czkze,student
czvftspe,other
czwglks,course
dbtooseb,other
dcbnebw,other
dcidctu,course
dclyjjg,other
ddgreszb,student
ddlpfjed,student
ddsnlb,other
ddurpci,other
ddwoml,other
debuzvc,student
deopslyp,other
deqwxxpt,other
devpg,other
dfuhpn,project
dfvnobj,student
dfzdiiy,student
dgppgjr,other
dhrezf,student
dhtdvz,other
digdken,other
djqfg,student
djrcms,other
dkgpnac,other
dkzacj,course
dmdjwh,other
dmiti,student
dmxjlh,other
doihof,other
dqhfisnj,other
dqxgzzq,other
dsnfmpl,course
dsvfsknw,other
duevfegy,other
duewkd,other
duhyq,course
dupih,other
dupnrc,other
duztbzxs,course
dvtry,staff
dwsrmkmd,department
dxratuv,other
dxwljzj,other
dykbpos,other
dyruktbc,student
dyzbzmd,other
eanugl,other
eapzf,course
ecpfwumt,course
eechlt,student
eenhsx,project
eeqnxdb,other
eezqfeb,student
efkum,course
egjrrq,staff
egqhoaq,department
eicecdq,staff
eicifodp,course
eihif,course
eisomf,other
ejdmt,student
ejygdjl,student
ekauzlfp,other
eksgz,other
ekwtr,course
elbnnrs,student
elgcpgx,other
elsgfepj,other
emjhblgl,other
empwxl,other
emtufqje,student
enikcsv,course
eoohbumy,student
epftt,course
eplubxxs,course
eporowdg,other
epuimb,student
epxzvm,other
erxspdd,other
eshbrq,other
esjxb,department
espxbh,other
estbkk,other
esxrrht,other
etibjjjs,other
eudatvy,other
evegw,other
evwphope,project
ewlew,other
ewnonvxy,other
ewsktq,student
ewwcso,student
exatc,student
excvdwzh,course
exiitk,student
eyaswbjz,other
eygbw,student
eyjdhqq,other
eysee,department
eytliaib,other
eyvafkd,student
eyxtv,faculty
ezpaic,other
fajpkgj,other
faprw,other
faqoft,other
fbcvban,other
fbzij,other
fcpcxixw,course
fcwjgf,other
fczhavit,other
fdxcbwrj,other
feavav,other
feeuawp,course
fekdcta,other
ffcrqo,project
ffczrnz,other
ffqtge,other
ffrkhfcp,other
fgnuh,other
fhalcyxq,other
fhayg,other
fhszf,other
fhwlo,student
fimnwyjw,student
fizgc,other
fjxpjfez,other
fksba,faculty
fkvuit,project
flectkq,student
flgtpxn,course
fmahjld,course
fmjcrj,student
fmmiki,project
fmqwylsg,course
fndgjmzm,other
fnqkojm,department
fnsurvey,course
fppga,other
fpwuad,course
fqealu,other
fqkyhcel,other
fqnaj,student
fromyknh,other
fsjvm,other
ftipfpcv,other
fudhjb,project
fugmzdml,other
fuvxncl,course
fuxozggi,other
fvcnksd,project
fvgngpl,faculty
fvuyfjv,staff
fwzhcxrx,project
fxabo,other
fxqhlu,course
fygug,course
fzgowhq,other
fzuwzk,staff
fzyjwl,other
gaqepyeo,student
gazyznk,other
gbmsh,other
gbumd,other
gbvqwbe,staff
gbzlhhl,course
gciirlh,other
gdgvwifk,student
gdpex,student
gduwb,course
gdxmso,other
gedcirqa,other
geiruvj,other
gevdzsvt,other
gfpmjx,student
gfvefxbu,course
gfwdbf,staff
gfyrwma,project
ggozukjr,course
ghxnl,student
gieoqvia,course
gjhhavd,course
gjpcxt,student
gjtxqp,department
gjuhqzdv,other
gkdnf,student
gkhact,course
gkqtn,other
gkvqoukw,other
gnaju,department
gnothl,course
gnrotudd,project
gnzbtght,other
gotjzb,other
gowqht,project
goxgfr,project
gqgtsy,other
grddrzm,other
gtbdebp,other
gtchjnzw,student
gtdarzt,project
gtdctoah,other
gtgxgzcn,other
gtjdqq,other
gtwhcjns,other
gtxqws,course
gurvox,student
gwnono,other
gwojb,student
gwtwpgzd,course
gwytgt,other
gxabdahe,course
gxdcpwo,faculty
gxqadkgw,other
gyldrugw,staff
gyutr,other
gzcicjd,faculty
gzomtedw,other
gzzdke,other
hafjoyi,other
haifof,student
hbobpex,other
hbregcw,student
hchoacu,course
hcxyp,course
hczmwigz,other
heaeeg,other
heatdq,student
heiozqq,other
hezwgs,other
hfdchvs,project
hfpivpuu,student
hgjwxb,student
hgmehmo,project
hhabfel,student
hhdjgk,other
hhdrss,course
hhsnp,other
higwe,course
hkdkgy,course
hlsypm,course
hltxkki,other
hmavwgj,other
hmdjklt,course
hmidet,student
hmrwjp,other
hngmr,other
hnweal,course
hoqua,other
hovra,course
hpsaouip,course
hpweca,other
hpzoxitc,project
hqrwpbt,course
hquvdf,student
hrojordm,student
hrshysyc,course
hskgpx,course
hszvzt,department
htbdkait,course
htqac,course
huovxti,other
hurpsrje,other
huumx,other
hvmsfmtn,course
hvstwh,other
hwxdzumg,other
hxkeks,other
hxncig,other
hyakvwkw,other
hyutx,other
iasqknq,student
iavwjn,staff
iawcg,other
ibnqs,student
ibxwya,project
icptqhh,student
iczwhz,student
idjfvfvk,department
ifclx,student
ifhyt,course
ifttvly,student
igamsti,course
igfttdjo,other
igswa,project
ihrpmc,course
ihsbfi,other
iirmwgfq,student
iitwjneu,other
iivlvl,course
ijkhegq,student
ijoyru,course
ijsqaud,course
ikgbbfg,other
iklphm,staff
ilktf,student
iloxxj,other
imdrjq,course
imltuesr,other
immpx,other
inlsldab,other
ioabqtxs,student
ioxoxekd,course
iplufn,student
iprfwqc,staff
iqbqv,student
iqeigph,project
irhvgjs,other
irhvprt,other
irjhn,other
irrdkkbn,student
iryynwmk,other
isxcfiva,course
iszou,staff
itlkmcny,other
itmbdhy,student
itozobft,student
iuxnok,course
iuxtwgjz,student
iwron,student
iwsxp,other
iwwwqw,other
iwywhmi,other
ixfhz,student
ixfqx,other
ixoubp,other
ixslka,other
iyemmjpt,staff
iyfsi,student
iypszquv,student
iyykc,course
izhzil,student
izktf,project
iztxnf,other
jbarxv,other
jcalgzyq,student
jcmkz,student
jctytnm,project
jdjamsls,other
jdnph,course
jdnrfqx,other
jdscdzrq,other
jdwxv,other
jewrlbk,course
jfdjl,student
jffly,project
jfiubhz,student
jfpfze,staff
jfqpd,other
jfwjlbtk,other
jgzrtkhc,project
jhptp,other
jieeefx,other
jjdohqq,course
jjomjmu,other
jjtlz,course
jjvpn,course
jklzmg,project
jlecz,other
jlkbszx,course
jlrqqriz,staff
jmbmykpe,staff
jmcmoudq,other
jmiqllv,other
jnlam,student
jnvplm,student
jptfm,other
jpxvffy,other
jqbbor,student
jqbuixz,course
jqeqv,other
jqfuqu,other
jrkacjdp,student
jrpbytj,other
jryqezxd,course
jspgm,other
jswcx,staff
jsybmuwh,course
jsyjyssc,course
jtahlq,course
jtcqmpo,other
jubzucis,other
juealsvj,other
junlpo,course
juwhwbv,other
juwmtndc,other
