docid,predicted_class
./data/splits/test_new\test\aaclkul.json,faculty
./data/splits/test_new\test\aagelci.json,project
./data/splits/test_new\test\aangjmn.json,student
./data/splits/test_new\test\aawnpc.json,course
./data/splits/test_new\test\abdjgiz.json,department
./data/splits/test_new\test\abeith.json,course
./data/splits/test_new\test\acbplmv.json,faculty
./data/splits/test_new\test\aceolgzx.json,other
./data/splits/test_new\test\aeohgccl.json,course
./data/splits/test_new\test\afdtazl.json,other
./data/splits/test_new\test\ahomx.json,department
./data/splits/test_new\test\aigkvvw.json,student
./data/splits/test_new\test\aiiuj.json,course
./data/splits/test_new\test\aimch.json,staff
./data/splits/test_new\test\aiqltd.json,course
./data/splits/test_new\test\aishkqu.json,project
./data/splits/test_new\test\aixqtudn.json,project
./data/splits/test_new\test\aizdnscx.json,other
./data/splits/test_new\test\ajgfhfc.json,project
./data/splits/test_new\test\ajjwszik.json,course
./data/splits/test_new\test\akbfdvs.json,course
./data/splits/test_new\test\aktnyrw.json,staff
./data/splits/test_new\test\alfaog.json,course
./data/splits/test_new\test\aljsfwq.json,department
./data/splits/test_new\test\alrywqkr.json,other
./data/splits/test_new\test\altuxox.json,course
./data/splits/test_new\test\altxhm.json,course
./data/splits/test_new\test\amowrsh.json,course
./data/splits/test_new\test\ampuskyi.json,faculty
./data/splits/test_new\test\amvukjdd.json,staff
./data/splits/test_new\test\amwcmt.json,course
./data/splits/test_new\test\amzuns.json,project
./data/splits/test_new\test\anjxcrs.json,department
./data/splits/test_new\test\anpusdof.json,course
./data/splits/test_new\test\apakwv.json,course
./data/splits/test_new\test\apcgc.json,faculty
./data/splits/test_new\test\apkhal.json,course
./data/splits/test_new\test\aplafmip.json,faculty
./data/splits/test_new\test\apmwy.json,staff
./data/splits/test_new\test\apnbs.json,project
./data/splits/test_new\test\appjcc.json,department
./data/splits/test_new\test\aqhzllis.json,project
./data/splits/test_new\test\aqsrcsy.json,department
./data/splits/test_new\test\arwvjftm.json,course
./data/splits/test_new\test\arzeerl.json,department
./data/splits/test_new\test\asani.json,course
./data/splits/test_new\test\asjtpgrs.json,course
./data/splits/test_new\test\aslkxlcr.json,department
./data/splits/test_new\test\asmucefp.json,student
./data/splits/test_new\test\aspksukx.json,department
./data/splits/test_new\test\aspnkeit.json,other
./data/splits/test_new\test\audtaxh.json,student
./data/splits/test_new\test\augeudkf.json,course
./data/splits/test_new\test\augwaud.json,faculty
./data/splits/test_new\test\aunqt.json,course
