file_name,predicted_class
aaclkul,faculty
aagelci,project
aangjmn,student
aawnpc,course
abdjgiz,department
abeith,course
acbplmv,faculty
aceolgzx,other
aeohgccl,course
afdtazl,other
ahomx,department
aigkvvw,student
aiiuj,course
aimch,staff
aiqltd,course
aishkqu,project
aixqtudn,project
aizdnscx,other
ajgfhfc,project
ajjwszik,course
akbfdvs,course
aktnyrw,staff
alfaog,course
aljsfwq,department
alrywqkr,other
altuxox,course
altxhm,course
amowrsh,course
ampuskyi,faculty
amvukjdd,staff
amwcmt,course
amzuns,project
anjxcrs,department
anpusdof,course
apakwv,course
apcgc,faculty
apkhal,course
aplafmip,faculty
apmwy,staff
apnbs,project
appjcc,department
aqhzllis,project
aqsrcsy,department
arwvjftm,course
arzeerl,department
asani,course
asjtpgrs,course
aslkxlcr,department
asmucefp,student
aspksukx,department
aspnkeit,other
audtaxh,student
augeudkf,course
augwaud,faculty
aunqt,course
avemi,student
awioiejc,course
awlal,faculty
axgkxmj,other
axphpch,project
aykqf,course
ayteap,department
azndzp,course
bbgkx,course
bcsrsbug,course
bdcydd,project
bdptkaio,student
bdwiu,course
begqls,project
beoczxhp,other
beoyl,course
beveykcq,other
bfiznf,project
bghlh,course
bgnisk,course
bgudhc,course
bgxblaq,department
bhjnxfeq,course
bhkvqidu,course
bhlwohi,other
bhptsyjz,course
bhuwf,other
bhzijblm,other
biaio,other
bilwr,course
bjjitsgt,course
bjwiuevz,course
bjzfnftw,course
blobw,course
bmmzflr,student
bnbsv,student
boarhn,course
bodmvxdf,student
bofjb,course
bondtsrh,staff
bovyrx,student
bpblgwar,course
bphhvc,course
bpjzrlxy,staff
bpxla,course
bqbvlmis,project
bqcuk,department
bqfbagmb,course
brhotofi,faculty
brmtqcj,faculty
brorn,department
browzov,staff
brwup,project
brzpgboe,course
bsjgc,other
bsjsuzw,project
bslps,department
btpdso,faculty
btrlegkg,course
bttjq,project
bulvw,student
bumcmpt,course
bvabh,course
bvkkhgyo,course
bvnniatg,project
bvtwusw,course
bvvko,course
bwjjh,course
bwvavr,faculty
bxwnlyu,course
bxxlthi,course
bypmk,course
byyxifzz,department
bzavavce,course
bzbyv,department
bzthieu,course
caaelf,staff
caecfi,course
caeck,department
caogdi,course
cbdxh,student
cbuuznl,project
ccbje,other
cddmp,course
cdhwa,course
cdruyo,other
cehogf,faculty
cenlf,course
cfcynn,project
cfsvmoen,course
cftid,student
cfwzqt,other
cgjuowc,faculty
charmfhj,student
chwusgl,course
cifmtm,course
cifyk,course
cioumfyi,course
ciuipt,other
ciwmb,project
cjnrzzmk,course
cjnxondy,course
ckemt,course
cketrvj,other
ckhzgl,student
clcydbp,course
clkaoj,course
clpyjrid,project
clsxoodd,faculty
cnhjk,project
cnlce,project
coomnevj,student
cotsv,project
cqksepwt,course
cqqqjx,other
cqtek,course
cqyvoud,course
cqzxj,project
crbexe,course
crusceee,course
ctfljg,course
ctshqqfo,course
cvxtmt,project
cwlxvwh,course
cxdpjw,department
cxjmjdh,faculty
cxvkh,course
czkze,faculty
czvftspe,course
czwglks,department
dbtooseb,project
dcbnebw,department
dcidctu,course
dclyjjg,department
ddgreszb,course
ddlpfjed,course
ddsnlb,faculty
ddurpci,course
ddwoml,course
debuzvc,project
deopslyp,course
deqwxxpt,course
devpg,course
dfuhpn,project
dfvnobj,other
dfzdiiy,faculty
dgppgjr,project
dhrezf,project
dhtdvz,student
digdken,course
djqfg,course
djrcms,course
dkgpnac,project
dkzacj,other
dmdjwh,other
dmiti,other
dmxjlh,department
doihof,project
dqhfisnj,course
dqxgzzq,faculty
dsnfmpl,department
dsvfsknw,course
duevfegy,project
duewkd,course
duhyq,department
dupih,student
dupnrc,course
duztbzxs,course
dvtry,course
dwsrmkmd,course
dxratuv,department
dxwljzj,course
dykbpos,course
dyruktbc,course
dyzbzmd,other
eanugl,course
eapzf,other
ecpfwumt,course
eechlt,other
eenhsx,course
eeqnxdb,faculty
eezqfeb,department
efkum,other
egjrrq,student
egqhoaq,department
eicecdq,course
eicifodp,course
eihif,course
eisomf,course
ejdmt,course
ejygdjl,course
ekauzlfp,course
eksgz,student
ekwtr,course
elbnnrs,project
elgcpgx,department
elsgfepj,project
emjhblgl,course
empwxl,department
emtufqje,course
enikcsv,course
eoohbumy,course
epftt,project
eplubxxs,other
eporowdg,project
epuimb,student
epxzvm,faculty
erxspdd,project
eshbrq,other
esjxb,course
espxbh,other
estbkk,course
esxrrht,other
etibjjjs,course
eudatvy,other
evegw,staff
evwphope,project
ewlew,student
ewnonvxy,course
ewsktq,department
ewwcso,department
exatc,other
excvdwzh,course
exiitk,course
eyaswbjz,faculty
eygbw,course
eyjdhqq,course
eysee,other
eytliaib,course
eyvafkd,student
eyxtv,faculty
ezpaic,course
fajpkgj,staff
faprw,course
faqoft,other
fbcvban,course
fbzij,course
fcpcxixw,department
fcwjgf,department
fczhavit,department
fdxcbwrj,project
feavav,course
feeuawp,course
fekdcta,project
ffcrqo,course
ffczrnz,project
ffqtge,course
ffrkhfcp,other
fgnuh,department
fhalcyxq,course
fhayg,faculty
fhszf,course
fhwlo,student
fimnwyjw,course
fizgc,department
fjxpjfez,staff
fksba,staff
fkvuit,department
flectkq,department
flgtpxn,department
fmahjld,course
fmjcrj,course
fmmiki,project
fmqwylsg,course
fndgjmzm,other
fnqkojm,course
fnsurvey,course
fppga,other
fpwuad,course
fqealu,department
fqkyhcel,course
fqnaj,course
fromyknh,department
fsjvm,other
ftipfpcv,course
fudhjb,course
fugmzdml,course
fuvxncl,project
fuxozggi,department
fvcnksd,project
fvgngpl,course
fvuyfjv,course
fwzhcxrx,project
