file_name,predicted_class
aaclkul,student
aagelci,other
aangjmn,other
aawnpc,course
abdjgiz,student
abeith,other
acbplmv,other
aceolgzx,course
aeohgccl,course
afdtazl,student
ahomx,faculty
aigkvvw,student
aiiuj,course
aimch,student
aiqltd,course
aishkqu,other
aixqtudn,course
aizdnscx,other
ajgfhfc,student
ajjwszik,student
akbfdvs,student
aktnyrw,student
alfaog,course
aljsfwq,student
alrywqkr,department
altuxox,student
altxhm,course
amowrsh,course
ampuskyi,other
amvukjdd,course
amwcmt,student
amzuns,project
anjxcrs,faculty
anpusdof,course
apakwv,other
apcgc,student
apkhal,student
aplafmip,faculty
apmwy,other
apnbs,faculty
appjcc,course
aqhzllis,student
aqsrcsy,department
arwvjftm,student
arzeerl,student
asani,course
asjtpgrs,student
aslkxlcr,other
asmucefp,other
aspksukx,faculty
aspnkeit,other
audtaxh,student
augeudkf,course
augwaud,course
aunqt,course
avemi,course
awioiejc,staff
awlal,student
axgkxmj,course
axphpch,other
aykqf,other
ayteap,faculty
azndzp,department
bbgkx,course
bcsrsbug,student
bdcydd,student
bdptkaio,student
bdwiu,course
begqls,project
beoczxhp,other
beoyl,project
beveykcq,other
bfiznf,course
bghlh,student
bgnisk,student
bgudhc,course
bgxblaq,other
bhjnxfeq,other
bhkvqidu,course
bhlwohi,other
bhptsyjz,student
bhuwf,other
bhzijblm,other
biaio,student
bilwr,other
bjjitsgt,course
bjwiuevz,other
bjzfnftw,other
blobw,course
bmmzflr,department
bnbsv,student
boarhn,course
bodmvxdf,student
bofjb,other
bondtsrh,other
bovyrx,student
bpblgwar,course
bphhvc,project
bpjzrlxy,student
bpxla,other
bqbvlmis,course
bqcuk,other
bqfbagmb,department
brhotofi,faculty
brmtqcj,faculty
brorn,project
browzov,course
brwup,student
brzpgboe,other
bsjgc,other
bsjsuzw,project
bslps,other
btpdso,course
btrlegkg,other
bttjq,other
bulvw,student
bumcmpt,course
bvabh,course
bvkkhgyo,student
bvnniatg,course
bvtwusw,course
bvvko,course
bwjjh,student
bwvavr,faculty
bxwnlyu,other
bxxlthi,staff
bypmk,other
byyxifzz,student
bzavavce,course
bzbyv,course
bzthieu,department
caaelf,student
caecfi,other
caeck,student
caogdi,course
cbdxh,student
cbuuznl,other
ccbje,student
cddmp,course
cdhwa,course
cdruyo,student
cehogf,faculty
cenlf,student
cfcynn,student
cfsvmoen,course
cftid,student
cfwzqt,other
cgjuowc,faculty
charmfhj,faculty
chwusgl,other
cifmtm,faculty
cifyk,student
cioumfyi,course
ciuipt,other
ciwmb,project
cjnrzzmk,course
cjnxondy,student
ckemt,student
cketrvj,other
ckhzgl,project
clcydbp,department
clkaoj,course
clpyjrid,student
clsxoodd,faculty
cnhjk,project
cnlce,course
coomnevj,student
cotsv,course
cqksepwt,course
cqqqjx,student
cqtek,course
cqyvoud,course
cqzxj,student
crbexe,course
crusceee,course
ctfljg,faculty
ctshqqfo,course
cvxtmt,project
cwlxvwh,course
cxdpjw,faculty
cxjmjdh,other
cxvkh,faculty
czkze,faculty
czvftspe,course
czwglks,course
dbtooseb,other
dcbnebw,faculty
dcidctu,other
dclyjjg,other
ddgreszb,student
ddlpfjed,student
ddsnlb,faculty
ddurpci,other
ddwoml,project
debuzvc,other
deopslyp,student
deqwxxpt,other
devpg,student
dfuhpn,other
dfvnobj,student
dfzdiiy,faculty
dgppgjr,project
dhrezf,student
dhtdvz,course
digdken,course
djqfg,project
djrcms,other
dkgpnac,other
dkzacj,staff
dmdjwh,other
dmiti,student
dmxjlh,faculty
doihof,other
dqhfisnj,course
dqxgzzq,student
dsnfmpl,department
dsvfsknw,other
duevfegy,student
duewkd,course
duhyq,project
dupih,other
dupnrc,other
duztbzxs,course
dvtry,faculty
dwsrmkmd,course
dxratuv,department
dxwljzj,other
dykbpos,other
dyruktbc,staff
dyzbzmd,student
eanugl,course
eapzf,course
ecpfwumt,course
eechlt,other
eenhsx,project
eeqnxdb,other
eezqfeb,course
efkum,course
egjrrq,department
egqhoaq,other
