docid,predicted_class
aaclkul,other
aagelci,course
aangjmn,other
aawnpc,course
abdjgiz,student
abeith,other
acbplmv,other
aceolgzx,other
aeohgccl,other
afdtazl,course
ahomx,faculty
aigkvvw,student
aiiuj,course
aimch,other
aiqltd,faculty
aishkqu,other
aixqtudn,course
aizdnscx,other
ajgfhfc,other
ajjwszik,course
akbfdvs,student
aktnyrw,staff
alfaog,course
aljsfwq,staff
alrywqkr,other
altuxox,other
altxhm,course
amowrsh,course
ampuskyi,other
amvukjdd,course
amwcmt,student
amzuns,project
anjxcrs,staff
anpusdof,course
apakwv,other
apcgc,other
apkhal,other
aplafmip,faculty
apmwy,other
apnbs,project
appjcc,course
aqhzllis,other
aqsrcsy,department
arwvjftm,other
arzeerl,student
asani,course
asjtpgrs,other
aslkxlcr,other
asmucefp,other
aspksukx,faculty
aspnkeit,other
audtaxh,other
augeudkf,course
augwaud,course
aunqt,course
avemi,student
awioiejc,staff
awlal,course
axgkxmj,other
axphpch,other
aykqf,other
ayteap,faculty
azndzp,other
bbgkx,other
bcsrsbug,student
bdcydd,course
bdptkaio,faculty
bdwiu,course
begqls,project
beoczxhp,other
beoyl,project
beveykcq,other
bfiznf,course
bghlh,other
bgnisk,course
bgudhc,course
bgxblaq,faculty
bhjnxfeq,other
bhkvqidu,course
bhlwohi,project
bhptsyjz,student
bhuwf,course
bhzijblm,other
biaio,student
bilwr,course
bjjitsgt,course
bjwiuevz,course
bjzfnftw,project
blobw,course
bmmzflr,other
bnbsv,student
boarhn,course
bodmvxdf,project
bofjb,project
bondtsrh,staff
bovyrx,staff
bpblgwar,course
bphhvc,other
bpjzrlxy,student
bpxla,project
bqbvlmis,course
bqcuk,faculty
bqfbagmb,other
brhotofi,faculty
brmtqcj,faculty
brorn,project
browzov,course
brwup,other
brzpgboe,course
bsjgc,other
bsjsuzw,project
bslps,department
btpdso,faculty
btrlegkg,other
bttjq,course
bulvw,student
bumcmpt,course
bvabh,course
bvkkhgyo,course
bvnniatg,project
bvtwusw,course
bvvko,course
bwjjh,staff
bwvavr,faculty
bxwnlyu,other
bxxlthi,staff
bypmk,other
byyxifzz,staff
bzavavce,course
bzbyv,project
bzthieu,department
caaelf,project
caecfi,other
caeck,student
caogdi,course
cbdxh,student
cbuuznl,project
ccbje,project
cddmp,course
cdhwa,other
cdruyo,course
cehogf,faculty
cenlf,course
cfcynn,project
cfsvmoen,course
cftid,course
cfwzqt,other
cgjuowc,faculty
charmfhj,faculty
chwusgl,faculty
cifmtm,faculty
cifyk,project
cioumfyi,course
ciuipt,other
ciwmb,project
cjnrzzmk,course
cjnxondy,other
ckemt,student
cketrvj,other
ckhzgl,other
clcydbp,staff
clkaoj,course
clpyjrid,other
clsxoodd,other
cnhjk,project
cnlce,project
coomnevj,student
cotsv,course
cqksepwt,course
cqqqjx,other
cqtek,course
cqyvoud,other
cqzxj,project
crbexe,course
crusceee,course
ctfljg,faculty
ctshqqfo,course
cvxtmt,other
cwlxvwh,course
cxdpjw,faculty
cxjmjdh,staff
cxvkh,course
czkze,faculty
czvftspe,other
czwglks,course
dbtooseb,project
dcbnebw,faculty
dcidctu,other
dclyjjg,project
ddgreszb,other
ddlpfjed,student
ddsnlb,faculty
ddurpci,faculty
ddwoml,other
debuzvc,other
deopslyp,other
deqwxxpt,other
devpg,course
dfuhpn,course
dfvnobj,other
dfzdiiy,staff
dgppgjr,other
dhrezf,course
dhtdvz,other
digdken,course
djqfg,faculty
djrcms,other
dkgpnac,other
dkzacj,course
dmdjwh,other
dmiti,course
dmxjlh,staff
doihof,other
dqhfisnj,course
dqxgzzq,course
dsnfmpl,course
dsvfsknw,other
duevfegy,staff
duewkd,course
duhyq,project
dupih,other
dupnrc,project
duztbzxs,course
dvtry,faculty
dwsrmkmd,course
dxratuv,department
dxwljzj,project
dykbpos,other
dyruktbc,course
dyzbzmd,other
eanugl,course
eapzf,other
ecpfwumt,course
eechlt,other
eenhsx,project
eeqnxdb,project
eezqfeb,staff
efkum,other
egjrrq,other
egqhoaq,faculty
eicecdq,faculty
eicifodp,course
eihif,course
eisomf,other
ejdmt,course
ejygdjl,other
ekauzlfp,student
eksgz,student
ekwtr,project
elbnnrs,course
elgcpgx,course
elsgfepj,other
emjhblgl,other
