docid,predicted_class
aaclkul,other
aagelci,other
aangjmn,other
aawnpc,other
abdjgiz,student
abeith,other
acbplmv,other
aceolgzx,other
aeohgccl,student
afdtazl,student
ahomx,faculty
aigkvvw,student
aiiuj,course
aimch,student
aiqltd,faculty
aishkqu,other
aixqtudn,other
aizdnscx,other
ajgfhfc,other
ajjwszik,faculty
akbfdvs,student
aktnyrw,student
alfaog,course
aljsfwq,student
alrywqkr,project
altuxox,student
altxhm,other
amowrsh,other
ampuskyi,project
amvukjdd,other
amwcmt,other
amzuns,other
anjxcrs,other
anpusdof,course
apakwv,other
apcgc,student
apkhal,student
aplafmip,faculty
apmwy,other
apnbs,faculty
appjcc,other
aqhzllis,faculty
aqsrcsy,department
arwvjftm,faculty
arzeerl,student
asani,course
asjtpgrs,student
aslkxlcr,other
asmucefp,other
aspksukx,faculty
aspnkeit,other
audtaxh,other
augeudkf,other
augwaud,other
aunqt,course
avemi,student
awioiejc,faculty
awlal,student
axgkxmj,other
axphpch,other
aykqf,other
ayteap,faculty
azndzp,department
bbgkx,other
bcsrsbug,student
bdcydd,student
bdptkaio,student
bdwiu,other
begqls,project
beoczxhp,other
beoyl,project
beveykcq,other
bfiznf,other
bghlh,other
bgnisk,student
bgudhc,course
bgxblaq,student
bhjnxfeq,student
bhkvqidu,course
bhlwohi,other
bhptsyjz,student
bhuwf,other
bhzijblm,other
biaio,student
bilwr,other
bjjitsgt,course
bjwiuevz,other
bjzfnftw,other
blobw,course
bmmzflr,other
bnbsv,student
boarhn,other
bodmvxdf,student
bofjb,other
bondtsrh,other
bovyrx,student
bpblgwar,course
bphhvc,other
bpjzrlxy,student
bpxla,other
bqbvlmis,other
bqcuk,project
bqfbagmb,other
brhotofi,faculty
brmtqcj,faculty
brorn,other
browzov,course
brwup,student
brzpgboe,other
bsjgc,other
bsjsuzw,project
bslps,department
btpdso,faculty
btrlegkg,other
bttjq,other
bulvw,student
bumcmpt,student
bvabh,other
bvkkhgyo,faculty
bvnniatg,other
bvtwusw,project
bvvko,course
bwjjh,staff
bwvavr,faculty
bxwnlyu,other
bxxlthi,student
bypmk,other
byyxifzz,student
bzavavce,other
bzbyv,other
bzthieu,department
caaelf,student
caecfi,other
caeck,student
caogdi,course
cbdxh,student
cbuuznl,other
ccbje,other
cddmp,other
cdhwa,other
cdruyo,student
cehogf,faculty
cenlf,student
cfcynn,faculty
cfsvmoen,other
cftid,other
cfwzqt,other
cgjuowc,faculty
charmfhj,faculty
chwusgl,other
cifmtm,faculty
cifyk,student
cioumfyi,course
ciuipt,other
ciwmb,other
cjnrzzmk,course
cjnxondy,other
ckemt,student
cketrvj,other
ckhzgl,project
clcydbp,student
clkaoj,course
clpyjrid,other
clsxoodd,faculty
cnhjk,project
cnlce,faculty
coomnevj,student
cotsv,other
cqksepwt,other
cqqqjx,student
cqtek,course
cqyvoud,other
cqzxj,other
crbexe,other
crusceee,other
ctfljg,faculty
ctshqqfo,other
cvxtmt,project
cwlxvwh,course
cxdpjw,faculty
cxjmjdh,faculty
cxvkh,faculty
czkze,faculty
czvftspe,other
czwglks,other
dbtooseb,other
dcbnebw,faculty
dcidctu,other
dclyjjg,other
ddgreszb,student
ddlpfjed,student
ddsnlb,faculty
ddurpci,faculty
ddwoml,other
debuzvc,other
deopslyp,student
deqwxxpt,other
devpg,other
dfuhpn,other
dfvnobj,student
dfzdiiy,faculty
dgppgjr,other
dhrezf,student
dhtdvz,other
digdken,other
djqfg,faculty
djrcms,other
dkgpnac,other
dkzacj,faculty
dmdjwh,other
dmiti,student
dmxjlh,faculty
doihof,other
dqhfisnj,course
dqxgzzq,student
dsnfmpl,department
dsvfsknw,other
duevfegy,other
duewkd,course
duhyq,project
dupih,other
dupnrc,other
duztbzxs,course
dvtry,faculty
dwsrmkmd,course
dxratuv,department
dxwljzj,project
dykbpos,other
dyruktbc,other
dyzbzmd,student
eanugl,other
eapzf,other
ecpfwumt,course
eechlt,other
eenhsx,other
eeqnxdb,other
eezqfeb,faculty
efkum,other
egjrrq,student
egqhoaq,faculty
eicecdq,faculty
eicifodp,course
eihif,other
eisomf,other
ejdmt,other
ejygdjl,other
ekauzlfp,student
eksgz,other
ekwtr,other
elbnnrs,other
elgcpgx,other
elsgfepj,other
emjhblgl,other
empwxl,other
emtufqje,course
enikcsv,other
eoohbumy,other
epftt,other
eplubxxs,other
eporowdg,other
epuimb,student
epxzvm,faculty
erxspdd,other
eshbrq,other
esjxb,faculty
espxbh,other
estbkk,course
esxrrht,faculty
etibjjjs,student
eudatvy,other
evegw,student
evwphope,project
ewlew,other
ewnonvxy,other
ewsktq,other
ewwcso,faculty
exatc,student
excvdwzh,course
exiitk,other
eyaswbjz,student
eygbw,faculty
eyjdhqq,other
eysee,other
eytliaib,course
eyvafkd,student
eyxtv,faculty
ezpaic,other
fajpkgj,student
faprw,other
faqoft,other
fbcvban,student
fbzij,other
fcpcxixw,department
fcwjgf,other
fczhavit,course
fdxcbwrj,student
