file_name,class_model1,class_model2,class_model3,class_tuple,common_or_frequent,common
wfqwne,student,student,student,"('student', 'student', 'student')",student,student
wwisnmd,other,other,other,"('other', 'other', 'other')",other,other
xlhpgzu,other,other,other,"('other', 'other', 'other')",other,other
yghie,student,student,student,"('student', 'student', 'student')",student,student
omvawb,other,other,other,"('other', 'other', 'other')",other,other
ryxpilnj,other,other,other,"('other', 'other', 'other')",other,other
plwcqfga,other,other,other,"('other', 'other', 'other')",other,other
mqfmt,course,other,course,"('course', 'other', 'course')",course,None
pzaevn,student,student,faculty,"('student', 'student', 'faculty')",student,None
mmtvoq,student,student,student,"('student', 'student', 'student')",student,student
xbccwj,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
avemi,student,student,student,"('student', 'student', 'student')",student,student
browzov,course,course,course,"('course', 'course', 'course')",course,course
lbokfzil,other,other,other,"('other', 'other', 'other')",other,other
pkbni,student,student,student,"('student', 'student', 'student')",student,student
emjhblgl,other,other,other,"('other', 'other', 'other')",other,other
sndtbf,other,other,other,"('other', 'other', 'other')",other,other
qvkigj,other,other,other,"('other', 'other', 'other')",other,other
xuime,project,project,other,"('project', 'project', 'other')",project,None
sbzkac,other,other,other,"('other', 'other', 'other')",other,other
yxzgihv,other,other,other,"('other', 'other', 'other')",other,other
fvuyfjv,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
kqohtbk,other,other,other,"('other', 'other', 'other')",other,other
vqshies,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
xdyech,other,other,other,"('other', 'other', 'other')",other,other
uiidp,student,student,student,"('student', 'student', 'student')",student,student
lkhsef,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
jsybmuwh,student,student,student,"('student', 'student', 'student')",student,student
izktf,other,other,other,"('other', 'other', 'other')",other,other
sxghcaoe,other,other,other,"('other', 'other', 'other')",other,other
tfghbb,other,other,other,"('other', 'other', 'other')",other,other
mgvpscd,other,other,other,"('other', 'other', 'other')",other,other
jyeyszb,student,student,student,"('student', 'student', 'student')",student,student
fhalcyxq,other,other,other,"('other', 'other', 'other')",other,other
xgtpxl,student,student,student,"('student', 'student', 'student')",student,student
byyxifzz,student,student,student,"('student', 'student', 'student')",student,student
skcbez,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
yajcfiu,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
pyywwcr,course,course,course,"('course', 'course', 'course')",course,course
tomluz,other,other,other,"('other', 'other', 'other')",other,other
faprw,other,other,other,"('other', 'other', 'other')",other,other
ihrpmc,course,course,course,"('course', 'course', 'course')",course,course
