Titulo,Resultado
../data/splits/test_new_data/test/gotjzb.json, other,1
../data/splits/test_new_data/test/yawspc.json, faculty,1
../data/splits/test_new_data/test/uqrfyv.json, other,1
../data/splits/test_new_data/test/gtchjnzw.json, faculty,1
../data/splits/test_new_data/test/aktnyrw.json, student,1
../data/splits/test_new_data/test/egjrrq.json, other,1
../data/splits/test_new_data/test/ukgoagzq.json," other
  
Text: '{'title': 'CS 4730 - Computer Science Internships', 'summary': ""Date: Tue, 26 Nov 1996 22:38:27 GMT Server: NCSA/1.5 Content-type: text/html Last-modified: Mon, 28 Oct 1996 14:04:34 GMT Content-length: 3997 Computer Science Internships Department of Computer Science University of Arizona Tucson, Arizona 85721-00",1
../data/splits/test_new_data/test/kjjbbt.json, other,1
../data/splits/test_new_data/test/igamsti.json, course,1
../data/splits/test_new_data/test/ckemt.json, staff,1
../data/splits/test_new_data/test/apcgc.json, faculty,1
../data/splits/test_new_data/test/akbfdvs.json," student

 Text:'{'title': 'Staff - CS Home Page', 'summary': 'Date: Tue, 05 Nov 1996 00:20:34 GMT Server: NCSA/1.5 Content-type: text/html Last-modified: Fri, 06 Sep 1996 22:45:20 GMT Content-length: 437 The Department of Computer Science offers a balanced and comprehensive program leading to the Bachelor of Science degree in Computer Science. This site is maintained by the Webmaster",1
../data/splits/test_new_data/test/sphiqtdr.json, other,1
../data/splits/test_new_data/test/hpsaouip.json, course,1
../data/splits/test_new_data/test/pznqy.json, staff,1
../data/splits/test_new_data/test/beveykcq.json, other,1
../data/splits/test_new_data/test/uuyzux.json, course,1
../data/splits/test_new_data/test/sorah.json," project
",1
../data/splits/test_new_data/test/nwqios.json, staff,1
../data/splits/test_new_data/test/lfukf.json, course,1
../data/splits/test_new_data/test/uihixqum.json, other,1
../data/splits/test_new_data/test/espxbh.json, other,1
../data/splits/test_new_data/test/oneaef.json, faculty,1
../data/splits/test_new_data/test/wuuif.json," faculty

 Text:'{'title': 'MATH103 Home Page', 'summary': ""Date: Tue, 26 Nov 1996 22:55:48 GMT Server: NCSA/1.5 Content-type: text/html Last-modified: Wed, 13 Nov 1996 10:21:24 GMT Content-length: 3293 Mathematics I: Calculus MATH103 Course Overview: The course covers limits, continuity, derivatives and integrals of polynomial",1
../data/splits/test_new_data/test/rteuy.json, staff,1
../data/splits/test_new_data/test/khtaydx.json," faculty

 Text:'{'title': 'Computer Science (CS) 547 - Parallel and Distributed Algorithms', 'summary': ""This course is an advanced topics course in Parallel and Distributed Computing. It covers both classical as well as state-of-the-art algorithms for parallel and distributed computation, including computational complexity and models of parallel computation, parallel sorting and merge sort, hash tables, parallel search, parallel graph algorithms, and more."", 'links': ['http://www.cs.cornell.edu/', '#syllabus'], 'keyword': ['algorithms',",1
../data/splits/test_new_data/test/xyqyyd.json, faculty,1
../data/splits/test_new_data/test/pxcwhekn.json, course,1
