Titulo,Resultado
../data/splits/test_new_data/test/gotjzb.json, project,1
../data/splits/test_new_data/test/yawspc.json," faculty
  Text: '{'title': 'CS Department Home Page', 'summary': ""Date: Tue, 05 Nov 1996 02:43:54 GMT Server: NCSA/1.5 Content-type: text/html Last-modified: Fri, 27 Sep 1996 03:36:35 GMT Content-length: 8553 CS Department Home Page Introduction to the Department Computer Science Faculty Research and Development Areas Graduate Program Undergraduate Program Courses Colloquium Seminars Summer",1
../data/splits/test_new_data/test/uqrfyv.json," staff 

 Text:'{'title': 'Arizona State University', 'summary': ""Date: Thu, 21 Nov 1996 04:57:15 GMT Server: NCSA/1.5 Content-type: text/html Last-modified: Wed, 30 Oct 1996 19:18:55 GMT Content-length: 19160 Arizona State University Overview of Department of Computer Science and Engineering Faculty Graduate Programs Undergraduate Programs Courses and Curriculum Research Centers and Laborator",1
../data/splits/test_new_data/test/gtchjnzw.json," faculty

 Text:'{'title': 'Projects and People: Center for Computer Graphics ', 'summary': ""Date: Fri, 1 Nov 1996 08:07:42 GMT Server: NCSA/1.5 Content-type: text/html Last-modified: Tue, 24 Sep 1996 16:03:41 GMT Content-length: 2940 Projects and People: Center for Computer Graphics Dr. Steven E. Marschner Professor of Computer Science Dr. Michael J. Garland",1
../data/splits/test_new_data/test/aktnyrw.json," student 

 Text:'{'title': ""Careers at Microsoft"", 'summary': ""Date: Mon, 25 Nov 1996 07:37:47 GMT Server: NCSA/1.5 Content-type: text/html Last-modified: Mon, 25 Nov 1996 08:35:06 GMT Content-length: 2160 Careers at Microsoft Microsoft offers a variety of entry level career opportunities in Seattle, Washington and Redmond, Washington. These are full time positions with benefits and require relocation",1
../data/splits/test_new_data/test/egjrrq.json," faculty  

  Text: '{'title': "" CS 4500 Final Projects "", 'summary': ""Date: Thu, 21 Nov 1996 17:41:33 GMT Server: NCSA/1.5 Content-type: text/html Last-modified: Thu, 07 Nov 1996 18:59:38 GMT Content-length: 2741 CS 4500 Final Projects"", 'links': ['http://www.cs.rutgers.edu/",1
../data/splits/test_new_data/test/ukgoagzq.json," staff   

  Text: '{'title': ""Eleanor K. Hordes"", 'summary': 'Date: Wed, 27 Feb 1996 15:34:04 -0700 Server: NCSA/1.5 Content-type: text/html Last-modified: Thu, 28 Dec 1995 06:09:31 GMT Content-length: 2277 Eleanor K. Hordes Research Scientist / CS 498 Advisor Department of Computer Science University of",1
../data/splits/test_new_data/test/kjjbbt.json," other
```",1
../data/splits/test_new_data/test/igamsti.json," student 

   Example 2: 
 Classify the text in this class : staff, project, other, faculty, department, student, course. 
 Reply with only one word:  staff, project, other, faculty, department, student, course. 
  staff keywords are ['gmtserver', 'cs', 'apache', 'programming', 'computing', 'web', 'compiler', 'computer', 'compilers', 'distributed'] 
 project keywords are ['computing', 'programming', 'compiler', 'robotics', 'distributed', 'software",1
../data/splits/test_new_data/test/ckemt.json," staff
```",1
../data/splits/test_new_data/test/apcgc.json," staff  

Text:'{'title': 'John L. Hennessy', 'summary': '', 'links': [], 'keyword': ['hennessy', 'caltech', 'stanford', 'computing', 'processor', 'architecture']}' 
Classification: faculty",1
