Titulo,Resultado
../data/splits/train_new_short/staff/brryz.json,"{'query': ""Classify the text in this class : [staff, project, other, faculty, department, student, course]. Reply with only one of these words: [staff, project, other, faculty, department, student, course]. \n  Text: '{'Title': 'Werner Vogels', 'Body': 'If we want to take our distributed systems to a global scope, there is a need to find a generic mechanism to support failure suspision, detection and management of processes, nodes and networks.', 'link': ['mailto:vogels@cs.cornell.edu', 'http://www.cs.cornell.edu/Info/Projects/HORUS', 'http://www.cs.cornell.edu/Info/Projects/ATM']}' \n  Classification: "", 'result': ' staff'}"
../data/splits/train_new_short/staff/mupnzjvv.json,"{'query': 'Classify the text in this class : [staff, project, other, faculty, department, student, course]. Reply with only one of these words: [staff, project, other, faculty, department, student, course]. \n  Text: \'{\'Title\': \'Jason Collins\', \'Body\': ""Date: Tue, 26 Nov 1996 19:24:33 GMT Server: NCSA/1.5.1 Last-modified: Wed, 30 Oct 1996 17:45:00 GMT Content-type: text/html Content-length: 2607 Jason Collins La Page de Jason Collins I\'m currently working as a Research Associate at the University of Saskatchewan Department of Computer Science ."", \'link\': [\'http://www.usask.ca\', \'http://www.cs.usask.ca\', \'http://www.cs.usask.ca/projects/aries/\']}\' \n  Classification: ', 'result': ' faculty'}"
../data/splits/train_new_short/staff/fptnizis.json,"{'query': ""Classify the text in this class : [staff, project, other, faculty, department, student, course]. Reply with only one of these words: [staff, project, other, faculty, department, student, course]. \n  Text: '{'Title': '\\nJussi Karlgren, NYU\\n', 'Body': 'Background and Reseach Goals I received my B A in Computational Linguistics and Mathematics in 1988, a Licentiate of Philosophy in Computer and Systems Sciences 1992, and have since then been employed at SICS in the Language and Interaction group - the former Natural Language Processing group - which position I currently am on leave from to uphold a research assistant position at New York University.', 'link': ['http://www.sics.se/', 'http://www.sunet.se:80/stockholm/', 'http://www.sunet.se/map/sweden.html']}' \n  Classification: "", 'result': ' staff'}"
../data/splits/train_new_short/staff/hazdat.json,"{'query': 'Classify the text in this class : [staff, project, other, faculty, department, student, course]. Reply with only one of these words: [staff, project, other, faculty, department, student, course]. \n  Text: \'{\'Title\': "" Ashutosh Dutta\'s Home Page "", \'Body\': ""Date: Tue, 26 Nov 1996 20:25:51 GMT Server: Apache/1.1.1 Content-type: text/html Content-length: 1412 Last-modified: Tue, 22 Oct 1996 20:29:35 GMT Ashutosh Dutta\'s Home Page Ashutosh Dutta finger dutta@cs.columbia.edu Welcome to my home page."", \'link\': [\'http://www.cs.columbia.edu/cgi-bin/finger?dutta@cs""\', \'http://www.cs.columbia.edu\', \'http://www.columbia.edu\']}\' \n  Classification: ', 'result': ' staff'}"
../data/splits/train_new_short/staff/mauom.json,"{'query': ""Classify the text in this class : [staff, project, other, faculty, department, student, course]. Reply with only one of these words: [staff, project, other, faculty, department, student, course]. \n  Text: '{'Title': 'Document moved', 'Body': 'WWW Alert:  Redirection response from server is not handled by this client Date: Wed, 19 Feb 1997 16:49:26 GMT Server: NCSA/1.5 Location: http://www.tc.cornell.edu/~bruce/ Content-type: text/html Document moved Document moved This document has permanently moved here .', 'link': ['http://www.tc.cornell.edu/~bruce/']}' \n  Classification: "", 'result': ' staff'}"
../data/splits/train_new_short/staff/gxbghe.json,"{'query': ""Classify the text in this class : [staff, project, other, faculty, department, student, course]. Reply with only one of these words: [staff, project, other, faculty, department, student, course]. \n  Text: '{'Title': ' Millar.html ', 'Body': 'Date: Mon, 25 Nov 1996 23:23:44 GMT Server: NCSA/1.5.1 Last-modified: Thu, 17 Oct 1996 19:27:23 GMT Content-type: text/html Content-length: 704 Millar.html L. Beth Millar B. Comm.', 'link': []}' \n  Classification: "", 'result': ' faculty\n\nAnswer: faculty'}"
../data/splits/train_new_short/staff/ewmdv.json,"{'query': ""Classify the text in this class : [staff, project, other, faculty, department, student, course]. Reply with only one of these words: [staff, project, other, faculty, department, student, course]. \n  Text: '{'Title': '\\nElle Gohl\\n', 'Body': 'Ms. Gohl has a B.A.', 'link': ['http://www.cs.vassar.edu/faculty/stafflist.html', 'http://www.cs.vassar.edu/']}' \n  Classification: "", 'result': ' staff'}"
../data/splits/train_new_short/staff/lwifrtz.json,"{'query': ""Classify the text in this class : [staff, project, other, faculty, department, student, course]. Reply with only one of these words: [staff, project, other, faculty, department, student, course]. \n  Text: '{'Title': 'Linda Torczon', 'Body': 'In the area of interprocedural analysis and optimization, she has developed techniques for interprocedural constant propagation and recompilation analysis.', 'link': ['http://www.cs.rice.edu/MSCP/MSCP.html', 'http://www.cs.rice.edu/fortran-tools/DSystem/DSystem.html', 'http://www.cs.rice.edu/MSCP/publications.html']}' \n  Classification: "", 'result': ' faculty'}"
../data/splits/train_new_short/staff/fleprfbe.json,"{'query': ""Classify the text in this class : [staff, project, other, faculty, department, student, course]. Reply with only one of these words: [staff, project, other, faculty, department, student, course]. \n  Text: '{'Title': 'Paul D. Wiedemeier', 'Body': 'Date: Tue, 26 Nov 1996 17:43:03 GMT Server: Apache/1.1.1 Content-type: text/html Content-length: 886 Last-modified: Thu, 30 May 1996 19:16:49 GMT Paul D. Wiedemeier Paul D. Wiedemeier Title:      Programmer Analyst II Department: Campus Computing Divison: Academic and Administrative Computing Support Mail:       Paul D. Wiedemeier University of Missouri - Columbia Campus Computing 200 Heinkel Building Columbia, Missouri  65211', 'link': ['http://www.missouri.edu/cc', 'http://www.missouri.edu/cc/cc_groups/academic.html', 'http://www.missouri.edu']}' \n  Classification: "", 'result': ' staff'}"
../data/splits/train_new_short/staff/nmljvum.json,"{'query': ""Classify the text in this class : [staff, project, other, faculty, department, student, course]. Reply with only one of these words: [staff, project, other, faculty, department, student, course]. \n  Text: '{'Title': 'Ngô Thanh Nh&agraven', 'Body': 'Date: Tue, 26 Nov 1996 20:54:06 GMT Server: NCSA/1.4.1 Content-type: text/html Last-modified: Mon, 25 Nov 1996 19:46:49 GMT Content-length: 2054 Ngô Thanh Nh&agraven Ngô Thanh Nh&agraven Computational Linguist Courant Institute of Mathematical Sciences Linguistic String Project Department of Computer Science Courant Institute of Mathematical Sciences New York University Mail Address Courant Institute of Mathematical Sciences 719 Broadway, Room 714 New York, NY 10003 U.S.A.', 'link': ['http://cs.nyu.edu/cs/projects/lsp/index.html', 'http://www.cs.nyu.edu/', 'http://cs.nyu.edu/cs/courantnyu.html']}' \n  Classification: "", 'result': ' staff'}"
../data/splits/train_new_short/staff/rsexw.json,"{'query': 'Classify the text in this class : [staff, project, other, faculty, department, student, course]. Reply with only one of these words: [staff, project, other, faculty, department, student, course]. \n  Text: \'{\'Title\': ""Jon Damon Reese\'s Home Page"", \'Body\': ""Date: Thu, 21 Nov 1996 20:19:19 GMT Server: NCSA/1.4.2 Content-type: text/html Last-modified: Sat, 27 Jul 1996 06:00:13 GMT Content-length: 5742 Jon Damon Reese\'s Home Page Jon Damon Reese Post-Doctoral Researcher Safety-Critical Software Group Department of Computer Science and Engineering University of Washington Box 352350 Seattle , WA 98195 Office: 106 Chateau (Guggenheim Annex) Phone: (206) 616-1844 FAX: (206) 543-2969 E-mail: jdreese@cs.washington.edu Research I am interested in the problem of safety-critical software ."", \'link\': [\'http://www.cs.washington.edu/research/projects/safety/www/\', \'http://www.cs.washington.edu/\', \'http://www.washington.edu\']}\' \n  Classification: ', 'result': ' staff'}"
../data/splits/train_new_short/staff/stfbsgsv.json,"{'query': 'Classify the text in this class : [staff, project, other, faculty, department, student, course]. Reply with only one of these words: [staff, project, other, faculty, department, student, course]. \n  Text: \'{\'Title\': ""\\nCharles Thayer\'s Home Page\\n"", \'Body\': ""-- Experimental document being written Charles Thayer Stub Techno-Fun Stuff Perl 5 man pages Perl Manual Perl World Wide Web Page Perl BBS Some merges of perl and snmp are available from: The DNPAP of Delft University of Technology (ftp Tricklet) , and CMU\'s SNMP folks ."", \'link\': [\'http://www.cs.columbia.edu/~thayer/bitmaps/moose-card-red.gif\', \'http://www.cs.columbia.edu:/~thayer/Hotlist.html\', \'http://www.cs.columbia.edu/~thayer/announce.cgi\']}\' \n  Classification: ', 'result': ' staff'}"
../data/splits/train_new_short/staff/leorz.json,"{'query': ""Classify the text in this class : [staff, project, other, faculty, department, student, course]. Reply with only one of these words: [staff, project, other, faculty, department, student, course]. \n  Text: '{'Title': 'Danilo Florissi, PhD Student', 'Body': 'Date: Tue, 26 Nov 1996 20:17:53 GMT Server: Apache/1.1.1 Content-type: text/html Content-length: 1156 Last-modified: Tue, 22 Aug 1995 19:18:56 GMT Danilo Florissi, PhD Student Danilo Florissi Department of Computer Science Columbia University New York, NY 10027 Tel: +1 (212) 939-7097 Fax: +1 (212) 666-0140 E-mail: df@cs.columbia.edu Danilo is a post-doctorate research scientist with the Distributed Computing and Communications (DCC) Lab.', 'link': ['http://www.cs.columbia.edu/~pgsf', 'http://www.cs.columbia.edu/~df/isochronets.html', 'http://www.cs.columbia.edu/~df/cv_danilo.ps']}' \n  Classification: "", 'result': ' [student, faculty]'}"
