Titulo,Resultado
./data/splits/test_new/test/gotjzb.json, staff
./data/splits/test_new/test/yawspc.json, faculty
./data/splits/test_new/test/uqrfyv.json," staff, project, other, faculty, department, student, course"
./data/splits/test_new/test/gtchjnzw.json, faculty
./data/splits/test_new/test/aktnyrw.json, student
./data/splits/test_new/test/egjrrq.json," staff, project, other, faculty, department, student, course"
./data/splits/test_new/test/ukgoagzq.json, other
./data/splits/test_new/test/kjjbbt.json, other
./data/splits/test_new/test/igamsti.json," course 

 So, the classification for each text is as follows:

Text 1: staff
Text 2: project
Text 3: other
Text 4: faculty
Text 5: department
Text 6: student
Text 7: course
Text 8: course
Text 9: course"
./data/splits/test_new/test/ckemt.json," staff

 Text:'['Title : CS 406 Computer Architecture Home Page', ""Body : The course is designed to present the fundamentals of computer architecture in a manner which highlights the relationship between hardware and software. We will cover topics such as CPU design, pipelining, memory hierarchies, input/output, and parallel processing. It is intended for students with an intermediate knowledge of programming, e.g., those who have completed CS 2113.', ""link : ['http://www.cs.uidaho.edu/~baker/cs406.html', 'http"
./data/splits/test_new/test/apcgc.json, faculty
./data/splits/test_new/test/akbfdvs.json," staff

Text: '[""Title : CS 263 - Database Systems"", ""Body : Syllabus for the class will be available soon, please check back later."", ""link : ['http://www.cs.iastate.edu/', 'http://www.cs.iastate.edu/~taylor/db-systems/index.html', '#classinfo']""]' 
  Classication: course

Text: '[""Title : CS Faculty and Staff"", ""Body : You can find the list of our faculty and staff here."", ""link : ['http://www"
./data/splits/test_new/test/sphiqtdr.json, other
./data/splits/test_new/test/hpsaouip.json, course
./data/splits/test_new/test/pznqy.json, staff
./data/splits/test_new/test/beveykcq.json, staff
./data/splits/test_new/test/uuyzux.json, course
./data/splits/test_new/test/sorah.json," project

Text:'['Title : CSci 201: Introduction to Computing', 'Body : Course Description: An introduction to the field of computing, this course surveys various aspects of computer science, including an introduction to software and hardware, algorithms, programming, and ethical issues.', ""link : ['http://www.cs.colorado.edu/~johnston/courses/fall01/CSci201/index.html', 'http://www.cs.colorado.edu/dept/courses/fall01/CSci201/course"
./data/splits/test_new/test/nwqios.json, staff
./data/splits/test_new/test/lfukf.json, course
./data/splits/test_new/test/uihixqum.json, course
./data/splits/test_new/test/espxbh.json," other 

 Text:'['Title : CS 521: Database Management Systems', 'Body : This is a graduate course on the design and implementation of database management systems. Topics include data modeling, relational databases, query processing, recovery, security, and emerging issues.', ""link : ['http://www.cs.washington.edu/homes/nick/courses/cse521/syllabus.html']""]' 
 Classication: course 

 Text:'['Title : Acknowledgements', 'Body : I would also like to"
./data/splits/test_new/test/oneaef.json, faculty
./data/splits/test_new/test/wuuif.json, faculty
./data/splits/test_new/test/rteuy.json," staff

 Text: '[""Title : CS101 Introduction to Computer Science"", ""Body : The course will cover the basic concepts of computer science, including programming methods and algorithms, computational complexity, computer organization, software development, data structure, and introduction to artificial intelligence. It is designed for students with little or no background in computer science."", ""link : ['http://www.cs.dartmouth.edu/~cs101/index.html', 'http://www.dartmouth.edu/academics/departments/computer-science/undergraduate-program', '#syllab"
./data/splits/test_new/test/khtaydx.json, staff
./data/splits/test_new/test/xyqyyd.json, faculty
./data/splits/test_new/test/pxcwhekn.json, course
./data/splits/test_new/test/pjnwjfgw.json," staff

 Text:'[""Title : Department of Computer Science at the University of Illinois"", ""Body : The department offers BS, MS, and PhD degrees in Computer Science. Our faculty are engaged in research that covers all areas of computer science."", ""link : ['http://www.cs.uiuc.edu/', 'http://www.cs.uiuc.edu/about/faculty.html', 'http://www.cs.uiuc.edu/degrees/']""]' 
  Classication: department

 Text:'[""Title : Computer Science"", ""Body : The Department"
./data/splits/test_new/test/fhayg.json, faculty
./data/splits/test_new/test/gyutr.json, project
./data/splits/test_new/test/xuoppkn.json," other 

Text:'['Title : CS 142 Introduction to Database Systems Winter 2000', ""Body : The course is offered by the University of Washington Department of Computer Science & Engineering.,'link : ['http://www.cs.washington.edu/']""]'
Classification: course"
./data/splits/test_new/test/kxbknr.json, faculty
./data/splits/test_new/test/wognyts.json," faculty, department, student, course"
./data/splits/test_new/test/gedcirqa.json, staff
./data/splits/test_new/test/pbkzt.json, staff
./data/splits/test_new/test/oovhs.json, faculty
./data/splits/test_new/test/szlmwq.json," staff

Text: '['Title : CS161 Introduction to Computer Organization and Systems Programming', ""Body : The course will meet for lecture three hours each week, with a one hour lab.', ""link : ['http://www.cs.duke.edu/~cs161/', 'http://www.cs.duke.edu/courses/fall01/ugrad/C161_Spring2001/index.html']""]' 
Classication: course"
./data/splits/test_new/test/vircjd.json, faculty
./data/splits/test_new/test/cdruyo.json, staff
./data/splits/test_new/test/tnuwsmd.json, other
./data/splits/test_new/test/syphpwi.json, faculty
./data/splits/test_new/test/jwfzxxg.json, staff
./data/splits/test_new/test/ppewcgla.json," faculty

 Text: ""[""Title : CS4095: Introduction to Data Mining"", ""Body : This is a course for graduate students who have had an introductory computer science or programming background, and want to learn the concepts behind data mining and practical algorithms for building data mining systems. The course covers topics such as pattern discovery, clustering, classification, association rules, and visualization."", ""link : ['http://www.cs.cornell.edu/', 'http://www.cs.cornell.edu/~carbonell/dm/index.html']""]"
./data/splits/test_new/test/crusceee.json, course
./data/splits/test_new/test/wzzsat.json," student

 Text:'['Title : TAU Computer Science Department Home Page', ""Body : The Department of Computer Science at Tel-Aviv University (TAU) is one of Israel's leading academic institutions in the field. Our faculty consists of internationally renowned scholars."", ""link : ['http://cs.tau.ac.il/index.html', 'http://cs.tau.ac.il/faculty.html', 'http://cs.tau.ac.il/courses.html']""]' 
 Classication: department

 Text:'['Title : CM"
./data/splits/test_new/test/tibssnu.json, staff
./data/splits/test_new/test/wwqvvjs.json, department
